job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
array_list_sort2,TRUE,70,303,0,0,0,0,0.32,0.32,0.02,0.13,0.01,0.01,0.35,0
array_list_swap,TRUE,125,790,14,0,14,12,15.95,15.95,0.03,0.19,0.01,0.01,16.01,0
array_list_swap_contents,TRUE,94,459,0,0,0,6,0.74,0.74,0.02,0.66,0.01,0.01,0.78,0
byte_buf_advance,TRUE,101,474,0,0,0,5,0.06,0.06,0.03,0.28,0.01,0.01,0.1,0
byte_buf_advance2,TRUE,82,371,0,0,0,0,0.03,0.03,0.02,0.2,0.01,0.01,0.08,0
byte_buf_append,TRUE,67,312,2,0,2,2,0.04,0.04,0.02,0.16,0.01,0.01,0.07,0
byte_buf_append_dynamic,TRUE,90,428,6,0,6,6,0.12,0.12,0.03,0.26,0.01,0.01,0.17,0
byte_buf_append_dynamic2,TRUE,87,391,6,0,6,6,0.11,0.11,0.03,0.22,0.01,0.01,0.16,0
byte_buf_append_with_lookup,TRUE,159,674,10,1,1,2,0.09,0.09,0.06,0.23,0.01,0.01,0.18,0
byte_buf_append_with_lookup2,TRUE,152,644,10,1,1,2,0.08,0.08,0.07,0.21,0.01,0.02,0.2,0
byte_buf_append2,TRUE,64,274,2,0,2,2,0.04,0.04,0.02,0.16,0.01,0.01,0.08,0
byte_buf_cat,TRUE,229,1027,6,0,6,16,0.45,0.45,0.07,1.65,0.01,0.01,0.56,0
byte_buf_cat2,TRUE,197,813,6,0,6,6,0.64,0.64,0.06,0.61,0.01,0.02,0.76,0
byte_buf_clean_up,TRUE,28,127,0,0,0,0,0.01,0.01,0.01,0.05,0,0.01,0.03,0
byte_buf_clean_up_secure,TRUE,28,130,0,0,0,0,0.01,0.01,0.01,0.06,0.01,0.01,0.03,0
byte_buf_eq,0,0,0,0,0,0,14,0,0,0,0.39,0,0,0,0
byte_buf_eq_c_str,TRUE,303,1508,0,0,0,11,0.59,0.59,0.05,0.21,0.01,0.01,0.68,0
byte_buf_eq_c_str_ignore_case,TRUE,289,3129,0,0,0,11,1.37,1.37,0.05,0.21,0.01,0.02,1.46,0
byte_buf_eq_c_str_ignore_case2,TRUE,264,3072,0,1,1,4,1.35,1.35,0.04,0.09,0.01,0.02,1.45,0
byte_buf_eq_c_str2,TRUE,278,1387,0,1,1,4,0.6,0.6,0.04,0.1,0.01,0.01,0.67,0
byte_buf_eq_ignore_case,TRUE,197,2657,0,0,0,8,0.81,0.81,0.07,0.46,0.01,0.02,0.92,0
byte_buf_eq_ignore_case2,TRUE,161,2569,0,0,0,2,0.02,0.02,0.08,0.12,0.01,0.02,0.15,0
byte_buf_eq2,TRUE,278,1455,0,0,0,8,1.34,1.34,0.06,0.19,0.01,0.01,1.43,0
byte_buf_from_array,TRUE,27,162,0,0,0,0,0.01,0.01,0.01,0.07,0.01,0.01,0.03,0
byte_buf_from_c_str,TRUE,173,924,0,0,0,18,0.33,0.33,0.03,0.11,0.01,0.01,0.38,0
byte_buf_from_empty_array,TRUE,27,162,0,0,0,0,0.01,0.01,0.01,0.05,0.01,0.01,0.04,0
byte_buf_init,TRUE,34,155,0,0,0,0,0.02,0.02,0.01,0.07,0.01,0.01,0.04,0
byte_buf_init_copy,TRUE,139,872,0,0,0,9,0.82,0.82,0.04,0.28,0.01,0.02,0.89,0
byte_buf_init_copy_from_cursor,TRUE,42,216,0,2,2,2,0.06,0.06,0.01,0.14,0.01,0.01,0.09,0
byte_buf_init_copy2,TRUE,138,879,0,0,0,7,0.9,0.9,0.03,0.26,0.01,0.02,0.97,0
byte_buf_reserve,TRUE,46,205,0,0,0,4,0.02,0.02,0.01,0.08,0.01,0.01,0.05,0
byte_buf_reserve_relative,TRUE,63,300,0,0,0,4,0.02,0.02,0.02,0.16,0.01,0.01,0.05,0
byte_buf_reset,TRUE,36,178,0,0,0,2,0.15,0.15,0.01,0.06,0.01,0.01,0.17,0
byte_buf_secure_zero,TRUE,44,210,0,0,0,2,0.05,0.05,0.01,0.08,0.01,0.01,0.08,0
byte_buf_write,TRUE,89,427,2,0,2,5,0.12,0.12,0.02,0.17,0.01,0.01,0.16,0
byte_buf_write_be16,TRUE,61,309,0,0,0,5,0.03,0.03,0.02,0.15,0.01,0.01,0.06,0
byte_buf_write_be162,TRUE,52,235,0,0,0,2,0.02,0.02,0.01,0.08,0.01,0.01,0.05,0
byte_buf_write_be32,TRUE,61,309,0,0,0,5,0.04,0.04,0.02,0.15,0.01,0.01,0.07,0
byte_buf_write_be322,TRUE,52,235,0,0,0,2,0.02,0.02,0.02,0.1,0.01,0.01,0.05,0
byte_buf_write_be64,TRUE,61,307,0,0,0,5,0.03,0.03,0.02,0.15,0.01,0.01,0.07,0
byte_buf_write_be642,TRUE,61,278,0,0,0,3,0.03,0.03,0.02,0.1,0.01,0.01,0.06,0
byte_buf_write_from_whole_buffer,TRUE,141,626,2,2,4,6,0.13,0.13,0.04,0.38,0.01,0.01,0.19,0
byte_buf_write_from_whole_buffer2,TRUE,115,509,2,2,4,0,0.11,0.11,0.04,0.17,0.01,0.02,0.18,0
byte_buf_write_from_whole_cursor,TRUE,108,499,2,0,2,8,0.1,0.1,0.03,0.29,0.01,0.01,0.14,0
byte_buf_write_from_whole_cursor2,TRUE,79,371,2,0,2,2,0.08,0.08,0.03,0.15,0.01,0.01,0.13,0
byte_buf_write_from_whole_string,TRUE,193,2366,24,0,24,6,2.53,2.53,0.06,0.27,0.01,0.05,2.68,0
byte_buf_write_from_whole_string2,TRUE,180,2200,24,0,24,3,2.21,2.21,0.05,0.15,0.01,0.05,2.35,0
