job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
add_size_checked,TRUE,30,185,0,0,0.02,0.02,0.01,0.01,0.01,0.03,0
ptr_eq,TRUE,6,30,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0
add_size_saturating,TRUE,26,168,0,0,0.06,0.06,0.01,0.01,0.01,0.08,0
is_power_of_two,TRUE,7,38,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0
nospec_mask,TRUE,14,84,0,0,0.02,0.02,0.01,0.01,0.01,0.04,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0.07,0.07,0.01,0,0.01,0.10,0
mul_size_checked,TRUE,30,159,0,0,0.17,0.17,0.01,0.01,0.01,0.18,0
mul_size_saturating,TRUE,34,188,0,0,0.19,0.19,0.01,0.00,0.01,0.21,0
round_up_to_power_of_two,TRUE,27,644,0,0,0.14,0.14,0.01,0.01,0.02,0.18,0
array_list_clean_up,TRUE,53,314,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0
array_list_clear,TRUE,75,413,0,0,0.15,0.15,0.02,0.01,0.01,0.18,0
array_list_capacity,TRUE,139,742,2,1,0.19,0.19,0.03,0.01,0.01,0.23,0
array_list_back,TRUE,177,935,4,3,0.21,0.21,0.04,0.01,0.01,0.28,0
array_list_front,TRUE,173,908,4,3,0.21,0.21,0.03,0.01,0.01,0.28,0
array_eq_ignore_case,TRUE,240,2676,4,24,0.87,0.87,0.06,0.01,0.02,0.97,0
array_eq_c_str,TRUE,580,2545,2,55,0.94,0.94,0.07,0.01,0.01,1.06,0
array_list_get_at_ptr,TRUE,167,897,2,1,0.21,0.21,0.04,0.01,0.01,0.27,0
array_list_init_static,TRUE,115,614,2,1,0.38,0.38,0.02,0.01,0.01,0.42,0
