job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.03,0,0,0,0,0,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.04,0.04,0.01,0,0.01,0.01,0.05,0,0,0,0,0,0
array_eq,TRUE,470,2186,0,52,0,0,0.97,0.97,0.03,0,0.01,0.01,1.01,0,0.01,0,0,0,0
array_eq_c_str,TRUE,602,2617,0,57,0,0,0.57,0.57,0.02,0,0.01,0.01,0.61,0,0.01,0,0,0,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.05,0.05,0.01,0,0,0.01,0.07,0,0.01,0,0,0,0
array_eq_c_str_ignore_case2,TRUE,99,583,0,11,0,0,0.04,0.04,0,0,0,0.01,0.06,0,0.01,0,0,0,0
array_eq_c_str2,TRUE,530,2288,0,51,0,0,0.37,0.37,0.02,0,0,0.01,0.4,0,0.01,0,0,0,0
array_eq_ignore_case,TRUE,258,2760,0,28,0,0,0.55,0.55,0.08,0,0.01,0.02,0.69,0,0.03,0,0,0,0
array_eq_ignore_case2,TRUE,191,2445,0,22,0,0,0.28,0.28,0.05,0,0.01,0.01,0.37,0,0.02,0,0,0,0
array_eq2,TRUE,406,1881,0,46,0,0,0.65,0.65,0.02,0,0.01,0.01,0.68,0,0.01,0,0,0,0
array_list_back,TRUE,236,1137,0,7,0,0,0.1,0.1,0.04,0,0,0.01,0.17,0,0.01,0,0,0,0
array_list_back2,TRUE,196,890,0,4,0,0,0.1,0.1,0.01,0,0.01,0.01,0.12,0,0.01,0,0,0,0
array_list_capacity,TRUE,182,895,0,3,0,0,0.1,0.1,0.02,0,0.01,0.01,0.14,0,0.01,0,0,0,0
array_list_capacity2,TRUE,135,625,0,0,0,0,0.09,0.09,0.02,0,0,0.01,0.12,0,0,0,0,0,0
array_list_clean_up,TRUE,75,397,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0,0,0,0,0
array_list_clear,TRUE,133,632,0,0,0,0,0.27,0.27,0.01,0,0.01,0.01,0.29,0,0,0,0,0,0
array_list_clear2,TRUE,137,645,0,0,0,0,0.26,0.26,0.02,0,0.01,0.01,0.29,0,0,0,0,0,0
array_list_comparator_string,TRUE,429,2820,2,55,0,0,3.09,3.09,0.03,0,0.01,0.02,3.15,0,0.01,0,0,0,0
array_list_copy,TRUE,300,1408,0,8,0,0,0.55,0.55,0.04,0,0.01,0.01,0.62,0,0.01,0,0,0,0
array_list_ensure_capacity,TRUE,219,1115,0,7,0,0,0.43,0.43,0.04,0,0.01,0.01,0.49,0,0.01,0,0,0,0
array_list_ensure_capacity2,TRUE,183,881,0,4,0,0,0.36,0.36,0.03,0,0.01,0.01,0.4,0,0.01,0,0,0,0
array_list_erase,TRUE,273,1347,4,7,0,0,1.13,1.13,0.04,0,0.01,0.01,1.2,0,0.01,0,0,0,0
array_list_erase2,TRUE,250,1176,4,4,0,0,0.64,0.64,0.05,0,0.01,0.01,0.71,0,0.01,0,0,0,0
array_list_front,TRUE,231,1112,0,7,0,0,0.12,0.12,0.03,0,0.01,0.01,0.17,0,0.01,0,0,0,0
array_list_front2,TRUE,191,865,0,4,0,0,0.09,0.09,0.02,0,0.01,0.01,0.13,0,0.01,0,0,0,0
array_list_get_at,TRUE,233,1128,0,7,0,0,0.12,0.12,0.04,0,0.01,0.01,0.18,0,0.01,0,0,0,0
array_list_get_at_ptr,TRUE,223,1090,0,3,0,0,0.11,0.11,0.04,0,0.01,0.01,0.17,0,0.01,0,0,0,0
array_list_get_at_ptr2,TRUE,182,841,0,0,0,0,0.1,0.1,0.02,0,0.01,0.01,0.13,0,0,0,0,0,0
array_list_get_at2,TRUE,193,881,0,4,0,0,0.1,0.1,0.03,0,0.01,0.01,0.15,0,0.01,0,0,0,0
array_list_init_dynamic,TRUE,118,584,0,0,0,0,0.16,0.16,0.03,0,0.01,0.01,0.2,0,0,0,0,0,0
