job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.03,0,0,0,0,0,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.07,0,0,0,0,0,0
array_eq,TRUE,475,2196,6,46,0,0,1.45,1.45,0.01,0,0.01,0.01,1.49,0,0.01,0,0,0,0
array_eq_c_str,TRUE,603,2618,2,55,0,0,0.86,0.86,0.01,0,0.01,0.01,0.9,0,0.01,0,0,0,0
array_eq_c_str_ignore_case,TRUE,99,578,1,10,0,0,0.08,0.08,0,0,0,0.01,0.09,0,0.01,0,0,0,0
array_eq_c_str_ignore_case2,TRUE,99,583,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.1,0,0.01,0,0,0,0
array_eq_c_str2,TRUE,530,2288,1,50,0,0,0.68,0.68,0.01,0,0.01,0.01,0.73,0,0.01,0,0,0,0
array_eq_ignore_case,TRUE,282,2826,24,4,0,0,0.71,0.71,0.01,0,0.01,0.02,0.77,0,0.01,0,0,0,0
array_eq_ignore_case2,TRUE,209,2499,18,4,0,0,0.54,0.54,0.01,0,0.01,0.02,0.59,0,0.01,0,0,0,0
array_eq2,TRUE,406,1881,0,46,0,0,1.13,1.13,0.01,0,0.01,0.01,1.17,0,0.01,0,0,0,0
array_list_back,TRUE,240,1154,7,0,0,0,0.18,0.18,0.01,0,0.01,0.01,0.21,0,0.01,0,0,0,0
array_list_back2,TRUE,197,900,4,0,0,0,0.17,0.17,0.01,0,0,0.01,0.19,0,0.01,0,0,0,0
array_list_capacity,TRUE,184,902,3,0,0,0,0.17,0.17,0.01,0,0.01,0.01,0.2,0,0.01,0,0,0,0
array_list_capacity2,TRUE,135,626,0,0,0,0,0.18,0.18,0.01,0,0.01,0.01,0.2,0,0,0,0,0,0
array_list_clean_up,TRUE,75,398,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0,0,0,0,0
array_list_clear,TRUE,133,633,0,0,0,0,0.49,0.49,0.01,0,0.01,0.01,0.5,0,0,0,0,0,0
array_list_clear2,TRUE,137,646,0,0,0,0,0.48,0.48,0.01,0,0,0.01,0.49,0,0,0,0,0,0
array_list_comparator_string,TRUE,429,2820,2,55,0,0,6.11,6.11,0.01,0,0.01,0.03,6.17,0,0.01,0,0,0,0
array_list_copy,TRUE,303,1419,8,0,0,0,1.61,1.61,0.01,0,0.01,0.01,1.64,0,0.01,0,0,0,0
array_list_ensure_capacity,TRUE,223,1127,7,0,0,0,0.89,0.89,0.01,0,0.01,0.01,0.94,0,0.01,0,0,0,0
array_list_ensure_capacity2,TRUE,184,887,4,0,0,0,0.76,0.76,0.01,0,0.01,0.01,0.78,0,0.01,0,0,0,0
array_list_erase,TRUE,277,1360,11,0,0,0,1.61,1.61,0.01,0,0.01,0.01,1.65,0,0.01,0,0,0,0
array_list_erase2,TRUE,252,1185,8,0,0,0,2.91,2.91,0.01,0,0.01,0.01,2.95,0,0.01,0,0,0,0
array_list_front,TRUE,235,1126,7,0,0,0,0.23,0.23,0.01,0,0.01,0.01,0.27,0,0.01,0,0,0,0
array_list_front2,TRUE,192,872,4,0,0,0,0.21,0.21,0.01,0,0.01,0.01,0.25,0,0.01,0,0,0,0
array_list_get_at,TRUE,237,1144,7,0,0,0,0.43,0.43,0.01,0,0.01,0.01,0.46,0,0.01,0,0,0,0
array_list_get_at_ptr,TRUE,225,1097,3,0,0,0,0.19,0.19,0,0,0.01,0.01,0.22,0,0.01,0,0,0,0
array_list_get_at_ptr2,TRUE,182,842,0,0,0,0,0.18,0.18,0.01,0,0.01,0.01,0.2,0,0,0,0,0,0
array_list_get_at2,TRUE,194,890,4,0,0,0,0.39,0.39,0.01,0,0.01,0.01,0.41,0,0.01,0,0,0,0
array_list_init_dynamic,TRUE,118,587,0,0,0,0,0.28,0.28,0,0,0.01,0.01,0.3,0,0,0,0,0,0
array_list_init_static,TRUE,154,750,3,0,0,0,0.38,0.38,0.01,0,0,0.01,0.41,0,0,0,0,0,0
array_list_init_static2,TRUE,122,580,0,0,0,0,0.33,0.33,0.01,0,0.01,0.01,0.36,0,0,0,0,0,0
array_list_length,TRUE,182,902,3,0,0,0,0.17,0.17,0.01,0,0.01,0.01,0.19,0,0.01,0,0,0,0
