job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_cursor_compare_lookup2,TRUE,696,3176,52,74,0,0,0.70,0.70,0.06,0,0.01,0.02,0.84,0
byte_cursor_satisfies_pred2,TRUE,93,498,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.06,0
byte_cursor_read_and_fill_buffer2,TRUE,216,1045,4,0,0,0,0.21,0.21,0.01,0,0.01,0.03,0.28,0
byte_cursor_eq_byte_buf2,TRUE,316,1591,11,1,0,0,0.32,0.32,0.01,0,0.01,0.01,0.38,0
byte_cursor_compare_lexical2,TRUE,317,1601,17,11,0,0,0.48,0.48,0.02,0,0.01,0.01,0.53,0
byte_cursor_eq_ignore_case2,TRUE,221,2703,0,10,0,0,0.88,0.88,0.02,0,0.01,0.03,0.95,0
hash_table_get_entry_count2,TRUE,204,1033,25,19,0,0,0.04,0.04,0.02,0,0.01,0.03,0.12,0
hash_iter_done2,TRUE,566,2401,78,6,0,0,0.15,0.15,0.04,0,0.01,0.03,0.28,0
hash_iter_begin2,TRUE,783,3536,86,18,0,0,0.26,0.26,0.04,0,0.01,0.04,0.42,0
ring_buffer_release2,FALSE,429,1962,0,0,0,0,0.21,0.21,0.03,0,0.01,0.02,0.31,0
hash_iter_next2,TRUE,646,2936,87,6,0,0,0.59,0.59,0.04,0,0.01,0.04,0.74,0
array_list_swap,TRUE,260,1491,14,14,0,0,34.62,34.62,0.01,0,0.01,0.02,34.69,0
hash_iter_begin_done2,TRUE,1316,5467,119,52,0,0,0.30,0.30,0.07,0,0.01,0.05,0.54,0
hash_table_find2,TRUE,1136,4668,158,20,0,0,1.46,1.46,0.08,0,0.01,0.04,1.68,0
priority_queue_s_sift_either,TRUE,1012,6023,43,28,0,0,1.29,1.29,0.05,0,0.01,0.15,1.62,0
priority_queue_pop,TRUE,849,3987,6,0,0,0,2.87,2.87,0.03,0,0.01,0.02,2.99,0
ring_buffer_release,FALSE,429,1962,0,0,0,0,0.23,0.23,0.03,0,0.01,0.01,0.32,0
priority_queue_remove,TRUE,756,3608,6,0,0,0,3.12,3.12,0.03,0,0.01,0.02,3.24,0
priority_queue_s_remove_node,TRUE,879,5730,29,14,0,0,3.70,3.70,0.04,0,0.01,0.20,4.05,0
priority_queue_push,TRUE,646,4440,17,0,0,0,3.67,3.67,0.03,0,0.01,0.56,4.36,0
priority_queue_push_ref,TRUE,647,4444,17,0,0,0,5.91,5.91,0.03,0,0.01,0.54,6.58,0
ring_buffer_acquire_up_to2,TRUE,536,2506,0,0,0,0,8.86,8.86,0.05,0,0.01,0.03,9.01,0
ring_buffer_acquire2,TRUE,533,2445,0,0,0,0,11.46,11.46,0.05,0,0.01,0.02,11.60,0
ring_buffer_acquire_up_to,TRUE,572,2681,0,0,0,0,9.11,9.11,0.05,0,0.01,0.02,9.25,0
ring_buffer_buf_belongs_to_pool2,TRUE,392,1788,0,0,0,0,25.69,25.69,0.03,0,0.01,0.02,25.77,0
ring_buffer_buf_belongs_to_pool,TRUE,465,2145,0,0,0,0,37.01,37.01,0.03,0,0.01,0.02,37.11,0
ring_buffer_acquire,TRUE,570,2630,0,0,0,0,37.54,37.54,0.05,0,0.01,0.03,37.69,0
hash_table_foreach_deep_precise,TRUE,1330,13787,132,64,0,0,32.52,32.52,0.09,0,0.01,5.81,38.98,0
priority_queue_s_swap,TRUE,674,3979,29,14,0,0,53.23,53.23,0.05,0,0.01,0.08,53.43,0
hash_table_foreach_deep_loose,TRUE,1247,13475,126,53,0,0,47.36,47.36,0.09,0,0.01,5.58,53.57,0
priority_queue_s_sift_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
priority_queue_s_sift_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
