job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
byte_cursor_from_buf,TRUE,196,879,0,3,0,0,0.04,0.04,0.1,0,0.01,0.01,0.17,0,0.01,175,0.008,0,0
byte_cursor_from_buf2,TRUE,154,650,0,0,0,0,0.03,0.03,0.06,0,0.01,0.01,0.11,0,0,137,0.007,4,0.003
byte_cursor_from_c_str,TRUE,313,1403,0,33,0,0,0.17,0.17,0.04,0,0.01,0.01,0.25,0,0.01,287,0.003,0,0
byte_cursor_from_string,TRUE,75,497,2,11,0,0,0.02,0.02,0.03,0,0.01,0.01,0.09,0,0.02,72,0.004,3,0.002
byte_cursor_left_trim_pred,TRUE,184,890,0,3,0,0,0.03,0.03,0.1,0,0.01,0.01,0.16,0,0.01,174,0.027,22,0.014
byte_cursor_left_trim_pred2,TRUE,155,726,0,0,0,0,0.02,0.02,0.06,0,0.01,0.01,0.1,0,0,146,0.013,25,0.006
byte_cursor_read,TRUE,153,769,4,3,0,0,0.22,0.22,0.08,0,0.01,0.02,0.35,0,0.01,134,0.013,10,0.006
byte_cursor_read_and_fill_buffer,TRUE,268,1270,4,4,0,0,0.28,0.28,0.2,0,0.01,0.03,0.55,0,0.02,242,0.029,10,0.014
byte_cursor_read_and_fill_buffer2,TRUE,224,1053,2,2,0,0,0.16,0.16,0.12,0,0.01,0.02,0.34,0,0.01,203,0.016,10,0.006
byte_cursor_read_be16,TRUE,115,631,2,1,0,0,0.06,0.06,0.07,0,0.01,0.02,0.16,0,0.01,100,0.011,7,0.005
byte_cursor_read_be16_2,TRUE,96,541,2,0,0,0,0.05,0.05,0.05,0,0.01,0.01,0.12,0,0.01,84,0.005,7,0.002
byte_cursor_read_be32,TRUE,115,657,2,1,0,0,0.06,0.06,0.07,0,0.01,0.01,0.16,0,0.01,100,0.01,7,0.005
byte_cursor_read_be32_2,TRUE,96,567,2,0,0,0,0.06,0.06,0.05,0,0.01,0.02,0.13,0,0.01,84,0.008,7,0.004
byte_cursor_read_be64,TRUE,115,708,2,1,0,0,0.08,0.08,0.06,0,0.01,0.02,0.17,0,0.01,100,0.009,7,0.004
byte_cursor_read_be64_2,TRUE,96,618,2,0,0,0,0.1,0.1,0.05,0,0.01,0.02,0.17,0,0.01,84,0.006,7,0.003
byte_cursor_read_u8,TRUE,125,635,2,3,0,0,0.06,0.06,0.05,0,0.01,0.02,0.16,0,0.01,108,0.007,7,0.003
byte_cursor_read_u8_2,TRUE,107,547,2,2,0,0,0.06,0.06,0.04,0,0.01,0.01,0.12,0,0.01,92,0.006,8,0.002
byte_cursor_read2,TRUE,122,623,2,2,0,0,0.14,0.14,0.05,0,0.01,0.02,0.22,0,0.01,106,0.008,9,0.004
byte_cursor_right_trim_pred,TRUE,209,964,0,14,0,0,0.03,0.03,0.09,0,0.01,0.01,0.16,0,0.02,208,0.026,22,0.014
byte_cursor_right_trim_pred2,TRUE,181,801,0,11,0,0,0.03,0.03,0.08,0,0,0.01,0.15,0,0.02,180,0.019,25,0.009
byte_cursor_satisfies_pred,TRUE,166,782,0,3,0,0,0.03,0.03,0.08,0,0.01,0.01,0.13,0,0.01,156,0.022,20,0.011
byte_cursor_satisfies_pred2,TRUE,133,608,0,0,0,0,0.02,0.02,0.05,0,0.01,0.01,0.09,0,0,125,0.011,22,0.006
byte_cursor_trim_pred,TRUE,304,1419,0,14,0,0,0.07,0.07,0.18,0,0.01,0.01,0.31,0,0.03,303,0.052,42,0.029
byte_cursor_trim_pred2,TRUE,276,1256,0,11,0,0,0.06,0.06,0.15,0,0.01,0.01,0.25,0,0.02,275,0.035,45,0.018
hash_array_ignore_case,TRUE,107,436,10,1,0,0,0.03,0.03,0.04,0,0.01,0.01,0.09,0,0.01,96,0.004,20,0.001
hash_byte_cursor_ptr,TRUE,189,850,0,21,0,0,0.23,0.23,0.06,0,0.01,0.01,0.34,0,0.03,210,0.012,13,0.005
hash_byte_cursor_ptr_ignore_case,TRUE,98,459,0,0,0,0,0.02,0.02,0.03,0,0.01,0.01,0.07,0,0,90,0.008,13,0.004
hash_c_string,TRUE,459,1936,3,54,0,0,0.64,0.64,0.05,0,0,0.01,0.73,0,0.01,444,0.005,2,0
hash_callback_c_str_eq,TRUE,691,3336,30,52,0,0,4.16,4.16,0.38,0,0.01,0.03,4.73,1,0.12,662,0.135,231,0.034
hash_callback_string_destroy,TRUE,37,236,1,7,0,0,0.04,0.04,0.02,0,0,0.01,0.09,0,0.02,30,0.001,0,0
hash_callback_string_eq,TRUE,547,3369,2,75,0,0,5.25,5.25,0.1,0,0.01,0.03,5.44,0,0.04,536,0.009,2,0.001
hash_iter_begin,TRUE,734,3387,0,108,0,0,0.52,0.52,1.11,0,0.01,0.04,2.15,0,0.4,820,0.285,64,0.185
hash_iter_begin_done,TRUE,1234,5285,0,175,0,0,0.97,0.97,1.47,0,0.01,0.05,3.23,0,0.61,1384,0.421,126,0.269
hash_iter_begin_done2,TRUE,1224,5226,33,138,0,0,0.62,0.62,1.62,0,0.01,0.07,3.25,0,0.83,1343,0.544,169,0.369
hash_iter_begin2,TRUE,724,3328,33,71,0,0,0.57,0.57,1.25,0,0.01,0.05,2.57,0,0.62,779,0.405,107,0.284
hash_iter_delete,TRUE,521,3280,10,79,0,0,18.54,18.54,1.69,0,0.01,0.1,21.56,0,1.15,575,0.237,39,0.158
hash_iter_done,TRUE,520,2461,6,82,0,0,0.19,0.19,0.86,0,0.01,0.04,1.54,0,0.38,584,0.178,31,0.109
hash_iter_done2,TRUE,490,2283,3,81,0,0,0.09,0.09,1.04,0,0.01,0.03,1.79,0,0.58,559,0.181,32,0.108
hash_iter_next,TRUE,593,2914,15,82,0,0,0.96,0.96,1.17,0,0.01,0.05,2.8,0,0.54,653,0.25,47,0.164
hash_iter_next2,TRUE,563,2816,12,81,0,0,0.58,0.58,1.38,0,0.01,0.04,2.88,0,0.82,628,0.255,46,0.166
hash_ptr,TRUE,12,67,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.02,0,0,7,0,0,0
hash_string,TRUE,200,859,24,6,0,0,0.25,0.25,0.11,0,0,0.01,0.43,0,0.05,205,0.027,39,0.016
hash_table_clean_up,TRUE,720,3051,0,148,0,0,0.4,0.4,0.55,0,0.01,0.04,1.42,0,0.36,844,0.152,47,0.089
hash_table_clear,TRUE,791,3309,0,171,0,0,0.43,0.43,0.58,0,0.01,0.03,1.49,0,0.38,936,0.149,47,0.084
hash_table_create,TRUE,1192,6549,74,122,0,0,7.63,7.63,3.01,0,0.01,0.15,12.39,1,1.42,1268,0.69,513,0.469
hash_table_eq,TRUE,7266,29920,570,527,0,0,5,5,27.54,0,0.01,0.38,44.44,0,10.62,7606,8.707,1330,6.484
hash_table_find,TRUE,1083,4724,68,112,0,0,5.31,5.31,2.33,0,0.01,0.06,8.89,0,1.08,1151,0.667,158,0.489
hash_table_find2,TRUE,1050,4590,69,107,0,0,4.06,4.06,2.35,0,0.01,0.06,7.67,0,1.11,1118,0.641,163,0.453
hash_table_foreach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hash_table_get_entry_count,TRUE,218,1202,0,48,0,0,0.06,0.06,0.11,0,0.01,0.02,0.28,0,0.06,247,0.007,0,0
hash_table_get_entry_count2,TRUE,179,973,0,44,0,0,0.03,0.03,0.14,0,0.01,0.02,0.31,0,0.1,210,0.01,1,0.002
hash_table_init_bounded,TRUE,150,1624,2,25,0,0,2.28,2.28,0.23,0,0.01,0.05,2.76,0,0.17,161,0.012,3,0.003
hash_table_init_unbounded,TRUE,156,1546,24,0,0,0,1.53,1.53,0.16,0,0.01,0.05,1.84,0,0.08,147,0.04,28,0.024
hash_table_move,TRUE,211,1174,0,46,0,0,0.06,0.06,0.11,0,0.01,0.02,0.28,0,0.07,238,0.008,0,0
hash_table_put,TRUE,1150,6218,78,104,0,0,4.35,4.35,2.9,0,0.01,0.11,8.81,1,1.26,1208,0.705,533,0.489
hash_table_remove,TRUE,851,5331,50,106,0,0,10.17,10.17,1.78,0,0.01,0.2,13.36,1,1.11,924,0.416,350,0.273
hash_table_swap,TRUE,417,2250,0,92,0,0,0.72,0.72,0.35,0,0.01,0.04,1.39,0,0.21,477,0.025,0,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0,1,0,0,0
linked_list_back,TRUE,368,2308,6,15,0,0,0.72,0.72,0.38,0,0,0.04,1.28,0,0.09,381,0.069,33,0.037
linked_list_begin,TRUE,366,2301,6,15,0,0,0.63,0.63,0.39,0,0.01,0.04,1.19,0,0.09,380,0.072,33,0.039
linked_list_end,TRUE,365,2287,6,15,0,0,0.64,0.64,0.4,0,0.01,0.04,1.22,0,0.1,379,0.076,33,0.041
linked_list_front,TRUE,428,2563,10,23,0,0,0.89,0.89,0.46,0,0.01,0.04,1.53,0,0.1,447,0.105,43,0.06
linked_list_init,TRUE,19,109,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0,14,0,0,0
linked_list_insert_after,TRUE,23,133,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0,18,0,0,0
linked_list_insert_before,TRUE,23,133,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0,18,0,0,0
linked_list_next,TRUE,22,127,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0,17,0,0,0
linked_list_node_reset,TRUE,16,97,0,2,0,0,0.1,0.1,0.01,0,0.01,0.01,0.12,0,0.01,10,0,0,0
linked_list_pop_back,TRUE,607,3444,32,22,0,0,1.5,1.5,0.89,0,0.01,0.07,2.77,0,0.23,634,0.218,80,0.142
linked_list_pop_front,TRUE,629,3479,32,22,0,0,1.4,1.4,0.79,0,0.01,0.06,2.55,0,0.21,656,0.222,87,0.153
linked_list_prev,TRUE,22,127,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0,17,0,0,0
linked_list_push_back,TRUE,540,3139,6,32,0,0,0.72,0.72,0.39,0,0.01,0.05,1.31,0,0.1,560,0.078,29,0.042
linked_list_push_front,TRUE,603,3507,21,22,0,0,1.31,1.31,0.75,0,0.01,0.05,2.34,0,0.15,628,0.184,78,0.115
linked_list_rbegin,TRUE,438,2678,8,25,0,0,0.47,0.47,0.44,0,0.01,0.03,1.11,0,0.11,455,0.091,38,0.05
linked_list_remove,TRUE,21,121,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0,16,0,0,0
linked_list_rend,TRUE,376,2347,6,17,0,0,0.71,0.71,0.38,0,0.01,0.04,1.27,0,0.09,391,0.075,33,0.04
linked_list_swap_contents,TRUE,1558,10964,5,127,0,0,7.83,7.83,1.15,0,0.01,0.49,10.05,0,0.33,1617,0.222,77,0.129
mul_size_checked,TRUE,30,159,0,0,0,0,0.17,0.17,0.01,0,0,0,0.18,0,0,19,0,0,0
mul_size_saturating,TRUE,34,188,0,0,0,0,0.19,0.19,0.01,0,0.01,0.01,0.21,0,0,25,0.001,2,0
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0,0,0.01,0.03,0,0,7,0,0,0
priority_queue_capacity,TRUE,461,2221,0,6,0,0,0.36,0.36,0.35,0,0.01,0.01,0.8,0,0.03,433,0.043,5,0.012
priority_queue_clean_up,TRUE,167,840,0,1,0,0,0.01,0.01,0.1,0,0,0.01,0.15,0,0.01,150,0.013,2,0.004
priority_queue_init_dynamic,TRUE,165,847,0,0,0,0,0.33,0.33,0.04,0,0.01,0.01,0.39,0,0,149,0.005,0,0
priority_queue_init_static,TRUE,114,605,0,0,0,0,0.36,0.36,0.05,0,0.01,0.01,0.43,0,0,96,0.005,1,0.001
priority_queue_size,TRUE,465,2241,0,6,0,0,0.42,0.42,0.41,0,0.01,0.01,0.94,0,0.03,438,0.05,5,0.015
