job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
add_size_checked,TRUE,30,185,0,0,0,0,0.03,0.03,0.01,0,0,0,0.04,0,0,19,0,0,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0,0,0.07,0,0,17,0,0,0
array_eq,TRUE,475,2196,6,46,0,0,1.46,1.46,0.06,0,0.01,0.01,1.56,1,0.01,444,0.007,19,0
array_eq_c_str,TRUE,603,2618,2,55,0,0,0.83,0.83,0.05,0,0.01,0.01,0.91,0,0.01,562,0.005,1,0
array_eq_c_str_ignore_case,TRUE,99,578,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.11,0,0.01,79,0.001,0,0
array_eq_c_str_ignore_case2,TRUE,99,583,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.1,0,0.01,79,0,0,0
array_eq_c_str2,TRUE,530,2288,1,50,0,0,0.64,0.64,0.02,0,0.01,0.01,0.69,0,0.01,498,0.002,2,0
array_eq_ignore_case,TRUE,282,2826,24,4,0,0,0.7,0.7,0.02,0,0.01,0.02,0.76,1,0.01,257,0.003,130,0
array_eq_ignore_case2,TRUE,209,2499,18,4,0,0,0.58,0.58,0.02,0,0.01,0.02,0.65,1,0.01,194,0.005,118,0
array_eq2,TRUE,406,1881,0,46,0,0,1.21,1.21,0.04,0,0,0.01,1.27,1,0.01,385,0.005,7,0
array_list_back,TRUE,240,1154,7,0,0,0,0.2,0.2,0.02,0,0.01,0.01,0.24,0,0.01,214,0.002,6,0
array_list_back2,TRUE,197,900,4,0,0,0,0.21,0.21,0.01,0,0,0.01,0.24,0,0.01,176,0,6,0
array_list_capacity,TRUE,184,902,3,0,0,0,0.18,0.18,0.02,0,0.01,0.01,0.22,0,0.01,163,0.002,2,0
array_list_capacity2,TRUE,135,626,0,0,0,0,0.18,0.18,0.01,0,0,0.01,0.2,0,0,118,0.001,2,0
array_list_clean_up,TRUE,75,398,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.04,0,0,62,0.001,0,0
array_list_clear,TRUE,133,633,0,0,0,0,0.53,0.53,0.02,0,0.01,0.01,0.57,0,0,119,0.002,0,0
array_list_clear2,TRUE,137,646,0,0,0,0,0.48,0.48,0.01,0,0.01,0.01,0.51,0,0,123,0,1,0
array_list_comparator_string,TRUE,429,2820,2,55,0,0,5.92,5.92,0.03,0,0.01,0.03,6.01,0,0.01,413,0.002,4,0
array_list_copy,TRUE,303,1419,8,0,0,0,1.61,1.61,0.03,0,0.01,0.01,1.67,0,0.01,276,0.002,6,0
array_list_ensure_capacity,TRUE,223,1127,7,0,0,0,0.86,0.86,0.03,0,0.01,0.01,0.91,1,0.01,204,0.003,10,0
array_list_ensure_capacity2,TRUE,184,887,4,0,0,0,0.79,0.79,0.02,0,0.01,0.01,0.84,0,0.01,169,0.001,7,0
array_list_erase,TRUE,277,1360,11,0,0,0,1.59,1.59,0.04,0,0.01,0.01,1.65,0,0.01,251,0.004,11,0
array_list_erase2,TRUE,252,1185,8,0,0,0,3,3,0.02,0,0.01,0.01,3.04,0,0.01,232,0.001,16,0
array_list_front,TRUE,235,1126,7,0,0,0,0.23,0.23,0.02,0,0.01,0.01,0.27,0,0.01,210,0.002,6,0
array_list_front2,TRUE,192,872,4,0,0,0,0.2,0.2,0.03,0,0,0.01,0.24,0,0.01,172,0.002,6,0
array_list_get_at,TRUE,237,1144,7,0,0,0,0.46,0.46,0.01,0,0,0.01,0.49,0,0,211,0,6,0
array_list_get_at_ptr,TRUE,225,1097,3,0,0,0,0.21,0.21,0.01,0,0.01,0.01,0.24,0,0.01,203,0.001,4,0
array_list_get_at_ptr2,TRUE,182,842,0,0,0,0,0.2,0.2,0.02,0,0.01,0.01,0.24,0,0,165,0.001,4,0
array_list_get_at2,TRUE,194,890,4,0,0,0,0.39,0.39,0.02,0,0,0.01,0.43,0,0.01,173,0.001,6,0
array_list_init_dynamic,TRUE,118,587,0,0,0,0,0.31,0.31,0.01,0,0.01,0.01,0.33,0,0,99,0,8,0
array_list_init_static,TRUE,154,750,3,0,0,0,0.36,0.36,0.01,0,0,0.01,0.39,1,0.01,123,0.001,6,0
array_list_init_static2,TRUE,122,580,0,0,0,0,0.36,0.36,0.01,0,0.01,0.01,0.38,0,0,95,0,0,0
array_list_length,TRUE,182,902,3,0,0,0,0.21,0.21,0.02,0,0.01,0.01,0.25,0,0.01,162,0.002,3,0
array_list_length2,TRUE,139,647,0,0,0,0,0.18,0.18,0.02,0,0.01,0.01,0.21,0,0,124,0.002,3,0
array_list_pop_back,TRUE,203,999,3,0,0,0,1.15,1.15,0.01,0,0.01,0.01,1.18,0,0.01,182,0.001,4,0
array_list_pop_back2,TRUE,159,741,0,0,0,0,0.6,0.6,0.02,0,0.01,0.01,0.64,0,0,142,0.001,4,0
array_list_pop_front,TRUE,224,1083,7,0,0,0,1.44,1.44,0.03,0,0.01,0.02,1.51,0,0.01,204,0.003,7,0
array_list_pop_front_n,TRUE,228,1102,7,0,0,0,1.81,1.81,0.03,0,0.01,0.02,1.88,0,0.01,207,0.002,7,0
array_list_pop_front_n2,TRUE,189,873,4,0,0,0,1.4,1.4,0.01,0,0.01,0.02,1.44,0,0.01,172,0.001,9,0
array_list_pop_front2,TRUE,180,838,4,0,0,0,1.41,1.41,0.02,0,0.01,0.02,1.46,0,0.01,164,0.002,7,0
array_list_push_back,TRUE,303,1473,11,0,0,0,2.4,2.4,0.04,0,0.01,0.01,2.47,1,0.01,276,0.007,30,0
array_list_push_back2,TRUE,259,1210,8,0,0,0,0.38,0.38,0.03,0,0.01,0.01,0.44,0,0.01,237,0.003,15,0
array_list_set_at,TRUE,299,1616,11,0,0,0,1.88,1.88,0.02,0,0.01,0.03,1.94,1,0.01,272,0.001,32,0
array_list_set_at2,TRUE,255,1348,8,0,0,0,1.15,1.15,0.03,0,0.01,0.03,1.23,0,0.01,232,0.003,15,0
array_list_shrink_to_fit,TRUE,263,1295,9,2,0,0,1.89,1.89,0.02,0,0.01,0.01,1.94,1,0.01,243,0.001,35,0
array_list_shrink_to_fit2,TRUE,215,1011,8,0,0,0,0.9,0.9,0.02,0,0.01,0.02,0.96,0,0.01,198,0.002,16,0
array_list_sort,TRUE,190,944,3,0,0,0,0.22,0.22,0.02,0,0.01,0.01,0.27,0,0.01,171,0.003,3,0
array_list_sort2,TRUE,147,689,0,0,0,0,0.18,0.18,0.01,0,0.01,0.01,0.21,0,0,133,0.001,3,0
array_list_swap,TRUE,276,1519,14,14,0,0,11.97,11.97,0.04,0,0.01,0.02,12.04,0,0.01,258,0.004,14,0
array_list_swap_contents,TRUE,358,1726,6,0,0,0,1.27,1.27,0.03,0,0.01,0.01,1.33,1,0.01,322,0.003,15,0
byte_buf_advance,TRUE,309,1405,5,0,0,0,0.09,0.09,0.03,0,0.01,0.01,0.16,1,0.01,280,0.005,47,0
byte_buf_advance2,TRUE,244,1079,0,0,0,0,0.05,0.05,0.02,0,0.01,0.01,0.09,0,0,220,0.002,16,0
byte_buf_append,TRUE,181,829,2,2,0,0,0.05,0.05,0.02,0,0.01,0.01,0.08,0,0.01,163,0.002,9,0
byte_buf_append_dynamic,TRUE,231,1092,8,4,0,0,0.19,0.19,0.02,0,0.01,0.01,0.23,0,0.01,213,0.003,18,0
byte_buf_append_dynamic2,TRUE,237,1079,8,4,0,0,0.17,0.17,0.03,0,0.01,0.01,0.22,0,0.01,221,0.003,21,0
byte_buf_append_with_lookup,TRUE,345,1564,10,10,0,0,0.11,0.11,0.03,0,0.01,0.02,0.18,0,0.01,332,0.003,27,0
byte_buf_append_with_lookup2,TRUE,347,1558,10,10,0,0,0.08,0.08,0.03,0,0.01,0.02,0.16,0,0.01,337,0.005,31,0
byte_buf_append2,TRUE,187,817,2,2,0,0,0.04,0.04,0.02,0,0.01,0.01,0.08,0,0.01,171,0.002,13,0
byte_buf_cat,TRUE,699,3113,22,0,0,0,0.69,0.69,0.07,0,0.01,0.02,0.83,1,0.01,639,0.012,93,0
byte_buf_cat2,TRUE,555,2339,12,0,0,0,0.64,0.64,0.06,0,0.01,0.04,0.78,0,0.01,511,0.006,33,0
byte_buf_clean_up,TRUE,66,308,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0,0,53,0.001,1,0
byte_buf_clean_up_secure,TRUE,75,351,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0,62,0,1,0
byte_buf_eq,TRUE,698,3183,6,46,0,0,1.57,1.57,0.03,0,0.01,0.02,1.65,1,0.01,661,0.003,39,0
byte_buf_eq_c_str,TRUE,112,637,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.11,0,0.01,88,0,0,0
byte_buf_eq_c_str_ignore_case,TRUE,112,637,1,10,0,0,0.09,0.09,0.01,0,0,0.01,0.11,0,0.01,88,0,0,0
