job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
array_list_swap,TRUE,153,896,14,12,22,4,5.39,5.15,0.15,1.85,0.01,0.02,5.40,0
byte_buf_reset,TRUE,40,194,0,0,0,2,0.08,0.05,0.02,0.18,0.01,0.01,0.08,0
byte_buf_init_copy_from_cursor,TRUE,45,231,0,4,4,0,0.12,0.08,0.03,0.73,0.01,0.01,0.13,0
byte_buf_reserve_relative,TRUE,60,289,0,0,0,4,0.07,0.02,0.03,0.59,0.01,0.01,0.08,0
byte_buf_secure_zero,TRUE,48,226,0,0,0,2,0.09,0.07,0.02,0.25,0.01,0.01,0.10,0
byte_buf_init_copy,TRUE,128,756,0,9,9,0,0.51,0.26,0.19,1.46,0.01,0.02,0.53,0
byte_buf_write_be16,TRUE,71,346,0,5,5,0,0.09,0.03,0.04,0.81,0.01,0.01,0.10,0
byte_buf_write,TRUE,91,437,0,5,5,2,0.20,0.10,0.07,0.93,0.01,0.01,0.22,0
byte_buf_write_be64,TRUE,71,344,0,5,5,0,0.08,0.02,0.04,0.79,0.01,0.01,0.09,0
byte_buf_write_be32,TRUE,71,346,0,5,5,0,0.08,0.03,0.04,0.80,0.01,0.01,0.09,0
array_list_swap_contents,TRUE,117,554,0,6,6,0,1.00,0.88,0.09,7.63,0.01,0.01,1.02,0
byte_cursor_advance,TRUE,67,338,2,1,3,0,0.17,0.10,0.05,0.35,0.01,0.01,0.18,0
byte_buf_eq_ignore_case,TRUE,243,2872,0,17,7,1,2.70,1.49,0.96,3.25,0.01,0.04,2.73,0
byte_cursor_advance_nospec,FALSE,72,388,2,1,3,0,0.14,0.07,0.06,0.37,0.01,0.01,0.15,0
byte_buf_write_u8,TRUE,71,344,0,5,5,0,0.09,0.03,0.04,0.80,0.01,0.01,0.10,0
byte_buf_write_from_whole_cursor,TRUE,122,554,0,10,10,0,0.25,0.11,0.11,2.42,0.01,0.01,0.27,0
byte_buf_write_from_whole_buffer,TRUE,151,671,0,10,10,0,0.35,0.17,0.13,3.01,0.01,0.01,0.36,0
byte_cursor_eq_c_str,TRUE,206,1152,0,7,7,4,0.05,0.01,0.02,0.70,0.01,0.01,0.06,0
byte_buf_write_from_whole_string,TRUE,167,1152,17,3,27,3,1.17,0.78,0.28,1.67,0.01,0.04,1.19,0
byte_cursor_eq_c_str_ignore_case,TRUE,236,2901,0,7,7,4,0.08,0.01,0.02,0.66,0.01,0.02,0.10,0
byte_cursor_from_array,TRUE,28,131,0,0,0,0,0.02,0.01,0.01,0.12,0.00,0.01,0.04,0
byte_cursor_eq,TRUE,161,904,0,6,10,4,0.98,0.71,0.24,1.29,0.01,0.01,1.00,0
byte_cursor_from_c_str,TRUE,164,884,0,0,0,18,0.15,0.12,0.02,0.17,0.00,0.01,0.16,0
byte_cursor_from_string,TRUE,27,297,2,0,2,11,0.08,0.03,0.03,0.25,0.01,0.01,0.09,0
byte_cursor_left_trim_pred,TRUE,84,455,0,3,4,0,0.08,0.03,0.04,0.42,0.01,0.01,0.09,0
byte_cursor_compare_lexical,TRUE,160,919,0,6,22,8,1.15,0.83,0.28,3.40,0.01,0.01,1.17,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,210,2611,0,16,8,0,2.11,1.12,0.82,1.89,0.01,0.04,2.13,0
byte_cursor_from_buf,TRUE,70,319,0,3,3,0,0.07,0.02,0.04,1.12,0.01,0.01,0.08,0
byte_cursor_eq_byte_buf,TRUE,211,1091,0,17,12,2,0.89,0.44,0.35,2.39,0.01,0.01,0.91,0
byte_cursor_read,TRUE,92,459,4,1,5,2,0.35,0.24,0.08,0.37,0.01,0.01,0.37,0
byte_cursor_eq_ignore_case,TRUE,190,2529,0,16,8,0,2.10,1.15,0.77,0.99,0.01,0.04,2.13,0
byte_cursor_read_be16,TRUE,56,321,2,1,3,2,0.12,0.05,0.06,0.35,0.01,0.01,0.12,0
byte_cursor_compare_lookup,TRUE,328,1856,0,16,12,6,2.20,0.84,1.18,3.83,0.01,0.02,2.24,0
