job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_eq2,TRUE,579,2684,0,46,0,0,1.37,1.29,0.05,0,0.01,0.01,1.40,0
array_list_clear2,TRUE,122,608,0,0,0,0,0.62,0.60,0.01,0,0.01,0.01,0.64,0
byte_buf_eq_ignore_case2,TRUE,276,2933,0,22,0,0,0.85,0.74,0.04,0,0.01,0.03,0.87,0
byte_buf_write_be162,TRUE,134,599,0,2,0,0,0.05,0.03,0.01,0,0.01,0.01,0.07,0
byte_buf_cat2,TRUE,521,2271,6,6,0,0,0.91,0.78,0.06,0,0.01,0.04,0.95,0
byte_buf_write2,TRUE,174,813,2,3,0,0,0.15,0.11,0.02,0,0.01,0.02,0.16,0
byte_buf_init_copy2,TRUE,278,1718,0,7,0,0,1.04,0.97,0.03,0,0.01,0.03,1.06,0
byte_buf_write_be322,TRUE,134,599,0,2,0,0,0.04,0.03,0.01,0,0.01,0.01,0.06,0
array_list_set_at2,TRUE,232,1302,2,6,0,0,2.76,2.69,0.02,0,0.01,0.04,2.78,0
byte_buf_write_be642,TRUE,151,682,0,3,0,0,0.05,0.03,0.01,0,0.01,0.01,0.07,0
byte_buf_write_u82,TRUE,134,599,0,2,0,0,0.04,0.03,0.01,0,0.01,0.01,0.05,0
byte_buf_write_from_whole_cursor2,TRUE,191,887,2,2,0,0,0.14,0.10,0.02,0,0.01,0.02,0.15,0
byte_buf_write_from_whole_buffer2,TRUE,267,1180,2,2,0,0,0.18,0.13,0.02,0,0.01,0.02,0.20,0
array_list_erase2,TRUE,236,1145,8,0,0,0,1.38,1.34,0.02,0,0.01,0.01,1.40,0
byte_cursor_advance2,TRUE,90,420,0,0,0,0,0.04,0.02,0.01,0,0.01,0.01,0.05,0
array_list_pop_front_n2,TRUE,174,834,4,0,0,0,1.33,1.29,0.01,0,0.01,0.02,1.34,0
byte_cursor_read2,TRUE,122,628,2,2,0,0,0.19,0.17,0.01,0,0.01,0.01,0.20,0
byte_cursor_read_u8_2,TRUE,103,528,2,2,0,0,0.09,0.06,0.01,0,0.01,0.01,0.10,0
byte_cursor_from_buf2,TRUE,146,636,0,0,0,0,0.05,0.02,0.02,0,0.00,0.01,0.06,0
byte_cursor_read_be32_2,TRUE,96,569,2,0,0,0,0.09,0.07,0.01,0,0.01,0.01,0.11,0
byte_buf_write_from_whole_string2,TRUE,231,1417,17,3,0,0,0.98,0.92,0.02,0,0.01,0.03,0.99,0
byte_cursor_eq2,TRUE,239,1274,0,12,0,0,0.44,0.40,0.02,0,0.01,0.01,0.45,0
byte_cursor_eq_c_str2,TRUE,102,606,0,11,0,0,0.11,0.09,0.01,0,0,0.01,0.12,0
byte_cursor_read_be64_2,TRUE,96,620,2,0,0,0,0.14,0.11,0.01,0,0.01,0.02,0.15,0
byte_cursor_left_trim_pred2,TRUE,155,726,0,0,0,0,0.05,0.02,0.02,0,0.01,0.01,0.06,0
byte_cursor_advance_nospec2,FALSE,100,495,0,0,0,0,0.05,0.03,0.01,0,0.01,0.01,0.06,0
byte_cursor_read_be16_2,TRUE,96,544,2,0,0,0,0.08,0.05,0.01,0,0.01,0.01,0.09,0
byte_cursor_eq_byte_buf_ignore_case2,TRUE,279,3012,0,10,0,0,0.67,0.59,0.04,0,0.01,0.03,0.70,0
byte_cursor_trim_pred2,TRUE,285,1295,10,1,0,0,0.38,0.33,0.02,0,0.01,0.01,0.39,0
byte_cursor_eq_c_str_ignore_case2,TRUE,102,606,0,11,0,0,0.09,0.08,0.01,0,0,0.01,0.10,0
byte_cursor_right_trim_pred2,TRUE,181,801,0,11,0,0,0.06,0.03,0.01,0,0.01,0.01,0.07,0
byte_cursor_compare_lookup2,TRUE,696,3176,0,126,0,0,0.78,0.64,0.07,0,0.01,0.01,0.81,0
byte_cursor_eq_byte_buf2,TRUE,305,1548,0,12,0,0,0.36,0.30,0.04,0,0.01,0.01,0.38,0
byte_cursor_satisfies_pred2,TRUE,93,498,0,0,0,0,0.04,0.02,0.01,0,0.01,0.01,0.06,0
byte_cursor_read_and_fill_buffer2,TRUE,216,1043,2,2,0,0,0.24,0.19,0.03,0,0.01,0.02,0.26,0
hash_table_get_entry_count2,TRUE,180,983,0,44,0,0,0.10,0.01,0.03,0,0.01,0.03,0.11,0
byte_cursor_eq_ignore_case2,TRUE,221,2703,0,10,0,0,0.89,0.83,0.02,0,0.01,0.03,0.91,0
byte_cursor_compare_lexical2,TRUE,316,1588,0,28,0,0,0.54,0.48,0.03,0,0.01,0.01,0.56,0
hash_iter_done2,TRUE,492,2301,3,81,0,0,0.53,0.13,0.20,0,0.01,0.04,0.60,0
hash_iter_begin2,TRUE,733,3464,35,69,0,0,0.66,0.17,0.30,0,0.01,0.05,0.74,0
ring_buffer_release2,FALSE,429,1962,0,0,0,0,0.34,0.23,0.06,0,0.01,0.02,0.39,0
