job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_clean_up_crab,TRUE,104,511,0,16,16,0,0.05,0.01,0.03,0.48,0.01,0.01,0.06,0
byte_buf_clean_up_secure_crab,TRUE,125,578,0,20,20,0,0.07,0.01,0.03,0.53,0.01,0.01,0.08,0
array_list_swap_contents_crab,TRUE,611,2479,0,101,95,0,0.15,0.01,0.07,7.90,0.01,0.03,0.17,0
byte_buf_eq_c_str_crab,TRUE,467,2312,0,39,37,7,3.86,0.05,3.59,1.59,0.01,0.03,3.88,0
hash_table_foreach_deep_precise,TRUE,737,11419,63,7,5,56,60.99,40.40,10.18,24.39,0.01,6.95,61.09,0
hash_table_foreach_deep_loose,TRUE,696,11095,63,2,4,48,69.69,51.04,8.99,18.77,0.01,6.53,69.79,0
byte_buf_eq_c_str_ignore_case_crab,TRUE,440,3946,0,36,34,7,3.29,0.05,3.02,1.50,0.01,0.05,3.32,0
byte_buf_from_array_crab,TRUE,175,834,0,27,25,0,0.05,0.01,0.03,0.37,0.01,0.01,0.06,0
byte_buf_from_empty_array_crab,TRUE,171,798,0,26,24,0,0.04,0.01,0.02,0.34,0.01,0.01,0.05,0
byte_buf_from_c_str_crab,TRUE,414,1907,15,33,46,3,0.50,0.23,0.21,1.08,0.01,0.02,0.53,0
byte_buf_append_with_lookup_crab,TRUE,558,7619,10,102,54,1,16.73,3.04,11.03,1.64,0.01,0.62,16.81,0
byte_buf_init_crab,TRUE,172,663,0,30,27,0,0.06,0.01,0.03,0.59,0.01,0.01,0.08,0
byte_buf_init_copy_from_cursor_crab,TRUE,154,1209,0,21,21,0,0.07,0.01,0.02,1.06,0.01,0.02,0.09,0
byte_buf_init_copy_crab,TRUE,324,2282,0,50,46,0,0.15,0.01,0.04,1.69,0.01,0.06,0.18,0
byte_buf_reserve_crab,TRUE,202,1952,0,33,34,0,0.12,0.01,0.03,0.66,0.01,0.05,0.13,0
byte_buf_reset_crab,TRUE,117,1500,0,17,17,0,0.10,0.01,0.03,0.48,0.01,0.04,0.12,0
byte_buf_reserve_relative_crab,TRUE,393,1525,0,64,62,0,0.09,0.01,0.04,1.15,0.01,0.02,0.11,0
byte_buf_secure_zero_crab,TRUE,173,1459,0,28,26,0,0.09,0.01,0.03,0.52,0.01,0.03,0.11,0
byte_buf_write_be16_crab,TRUE,275,1114,0,46,44,0,0.07,0.01,0.04,1.25,0.01,0.01,0.08,0
byte_buf_cat_crab,TRUE,762,3092,0,123,117,1,0.12,0.01,0.05,14.14,0.01,0.02,0.15,0
byte_buf_write_be64_crab,TRUE,275,1111,0,46,44,0,0.07,0.01,0.03,1.20,0.01,0.01,0.08,0
byte_buf_write_be32_crab,TRUE,275,1114,0,46,44,0,0.06,0.01,0.04,1.20,0.01,0.01,0.08,0
byte_buf_write_crab,TRUE,368,2450,0,58,55,2,0.13,0.01,0.03,1.16,0.01,0.05,0.15,0
byte_buf_write_crab2,TRUE,159,770,0,0,0,14,0.65,0.46,0.16,2.72,0.01,0.01,0.67,0
byte_buf_write_from_whole_string_crab,TRUE,381,4327,0,65,63,3,0.22,0.02,0.03,1.30,0.01,0.11,0.24,0
byte_buf_write_from_whole_cursor_crab,TRUE,445,3221,0,76,74,0,0.16,0.02,0.03,2.63,0.01,0.06,0.19,0
byte_cursor_read_crab,TRUE,229,1687,0,34,34,2,0.11,0.01,0.01,0.58,0.01,0.07,0.12,0
byte_buf_write_u8_crab,TRUE,275,1113,0,46,44,0,0.07,0.01,0.03,1.12,0.01,0.01,0.07,0
byte_buf_write_from_whole_buffer_crab,TRUE,520,3806,0,86,82,0,0.22,0.02,0.05,4.10,0.01,0.09,0.25,0
string_eq_byte_buf_crab,TRUE,174,1110,0,2,4,19,1.03,0.59,0.40,0.59,0.01,0.02,1.05,0
string_eq_crab,TRUE,204,1457,12,4,14,45,2.62,2.06,0.49,0.61,0.01,0.02,2.65,0
byte_buf_eq_ignore_case_crab,TRUE,614,4600,28,64,68,0,23.87,6.76,14.97,3.44,0.01,0.11,23.96,0
priority_queue_push_crab,TRUE,950,12226,0,158,154,1,1.94,0.03,0.23,9.87,0.01,1.31,2.00,0
byte_buf_eq_crab,TRUE,826,4017,52,68,78,0,45.19,21.66,20.22,4.22,0.01,0.11,45.30,0
hash_table_put_crab,TRUE,1279,8622,78,144,89,6,78.05,10.25,57.19,5.22,0.01,0.32,78.22,0
priority_queue_s_sift_up,0,0,0,0,0,33,7,0,0,0,32.42,0,0,0,0
ring_buffer_acquire2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ring_buffer_acquire,TRUE,218,932,0,0,0,0,20.59,19.36,1.21,629.08,0.01,0.01,20.61,0
priority_queue_s_sift_either,TRUE,551,3705,39,36,63,8,696.21,0.38,480.51,45.31,0.01,0.07,696.24,0
hash_table_find2,0,0,0,0,0,34,35,0,0,0,765.52,0,0,0,0
priority_queue_s_sift_down,0,0,0,0,0,33,7,0,0,0,34.77,0,0,0,0
