job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time
hash_table_clear,true,832,3440,41,130,1.98,0.72
hash_table_find,true,1082,4697,69,111,5.89,3.85
hash_table_init_bounded,true,174,1650,27,0,6.27,6
hash_table_create,true,1197,6548,79,117,15.92,13.11
hash_table_init_unbounded,true,156,1531,24,0,1.78,1.52
hash_table_put,true,1167,6184,93,89,9.8,7.08
linked_list_back,true,368,2242,6,15,1.67,1.4
hash_table_remove,true,852,5220,51,105,11.97,9.89
hash_table_foreach,true,1186,9483,55,20,31.43,25.54
linked_list_begin,true,380,2236,21,0,1.64,1.33
linked_list_init,true,19,109,0,0,0.03,0.01
linked_list_end,true,365,2221,6,15,1.85,1.56
linked_list_remove,true,21,121,0,0,0.04,0.01
linked_list_front,true,448,2501,33,0,2.75,2.39
linked_list_prev,true,22,127,0,0,0.02,0.01
linked_list_next,true,22,127,0,0,0.03,0.01
linked_list_node_reset,true,16,97,0,2,0.1,0.08
linked_list_pop_front,true,650,3391,54,0,3,2.37
linked_list_pop_back,true,607,3349,32,22,3.57,2.92
linked_list_push_back,true,534,3055,16,22,1.83,1.37
linked_list_insert_after,true,23,133,0,0,0.04,0.01
linked_list_push_front,true,624,3408,43,0,2.91,2.33
linked_list_insert_before,true,23,133,0,0,0.03,0.01
hash_table_eq,true,7268,29675,576,521,42.19,10.7
string_bytes,true,39,239,0,9,0.18,0.15
linked_list_rbegin,true,435,2584,10,23,1.12,0.77
linked_list_rend,true,391,2283,23,0,2.44,2.13
string_compare,true,347,2075,43,6,4.77,4.49
string_eq,true,347,2033,47,6,4.38,4.12
string_eq_byte_buf,true,411,2181,34,9,2.87,2.54
string_eq_byte_buf_ignore_case,true,359,3389,31,5,3.16,2.84
string_eq_byte_cursor_ignore_case,true,381,4453,31,17,5.83,5.48
string_eq_c_str,true,569,2679,10,54,2.39,2.22
linked_list_swap_contents,true,1537,10408,73,59,16.1,13.11
string_eq_byte_cursor,true,340,1896,35,9,6.99,6.74
string_new_from_c_str,true,364,1624,0,53,0.37,0.24
string_new_from_array,true,107,941,0,20,1.89,1.81
string_new_from_string,true,165,1168,19,17,1.03,0.88
string_destroy,true,32,209,2,3,0.08,0.05
string_destroy_secure,true,54,377,2,7,0.17,0.12
string_eq_c_str_ignore_case,true,562,5092,9,54,4.85,4.62
string_eq_ignore_case,true,403,4885,52,6,5.14,4.69
priority_queue_size,true,461,2236,0,6,0.95,0.67
priority_queue_capacity,true,457,2216,0,6,0.98,0.71
priority_queue_init_static,true,116,605,0,0,0.44,0.4
priority_queue_init_dynamic,true,168,851,0,0,0.37,0.31
priority_queue_top,true,473,2292,0,6,1.03,0.76
priority_queue_clean_up,true,167,850,0,1,0.11,0.02
ring_buffer_clean_up,true,87,469,0,0,0.3,0.23
ring_buffer_init,true,105,474,0,0,0.11,0.05
byte_buf_eq2,true,595,2692,8,38,2.36,1.99
priority_queue_s_sift_either,true,1071,6185,43,28,3.72,2.58
priority_queue_s_remove_node,true,946,5872,37,6,7.11,6.04
priority_queue_remove,true,819,3819,4,2,8.23,7.81
priority_queue_s_swap,true,703,4044,28,15,30.71,29.93
priority_queue_pop,true,932,4224,4,2,5.25,4.81
priority_queue_push,true,678,4507,9,8,5.76,4.39
priority_queue_push_ref,true,679,4522,9,8,9.19,7.81
ring_buffer_release,true,435,1981,0,0,19.99,19.71
ring_buffer_buf_belongs_to_pool,true,479,2169,0,0,31.24,30.83
ring_buffer_acquire,true,597,2748,0,0,49.34,48.8
ring_buffer_acquire_up_to,true,611,2870,0,0,25.22,24.59
hash_table_foreach_deep_precise,true,1331,13784,165,31,56.42,45.52
hash_table_foreach_deep_loose,true,1248,13472,159,20,109.19,99.65
