job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_buf_write_be64,TRUE,187,876,2,3,0.16,0.05,0.01,0.01,0.19,0.01
byte_buf_write_from_whole_buffer,TRUE,358,1618,6,4,0.63,0.36,0.01,0.05,0.67,0.01
byte_buf_write_from_whole_cursor,TRUE,274,1289,6,4,0.54,0.34,0.01,0.04,0.57,0.01
byte_buf_write_u8,TRUE,187,874,2,3,0.16,0.06,0.01,0.01,0.18,0.01
byte_cursor_advance,TRUE,119,585,2,1,0.21,0.14,0.01,0.01,0.23,0.01
byte_cursor_advance_nospec,TRUE,130,679,2,1,0.36,0.29,0.01,0.02,0.37,0.01
byte_buf_write_from_whole_string,TRUE,318,2894,26,4,3.74,3.35,0.01,0.12,3.77,0.01
byte_cursor_compare_lexical,TRUE,312,1674,4,14,1.28,1.07,0.01,0.02,1.30,0.01
byte_cursor_eq_byte_buf,TRUE,370,1869,4,14,0.88,0.58,0.01,0.02,0.92,0.01
byte_cursor_eq,TRUE,294,1554,4,14,1.23,1.03,0.01,0.02,1.26,0.01
byte_cursor_compare_lookup,TRUE,820,3546,64,68,2.83,2.12,0.01,0.03,2.89,0.01
byte_cursor_eq_c_str,TRUE,102,595,0,11,0.18,0.13,0.01,0.18
byte_cursor_eq_c_str_ignore_case,TRUE,102,595,0,11,0.15,0.12,0.01,0.17
byte_cursor_from_array,TRUE,44,207,0,0,0.04,0.02,0.00,0.01,0.05,0.00
byte_cursor_eq_byte_buf_ignore_case,TRUE,357,3361,4,12,2.16,1.82,0.01,0.04,2.20,0.01
byte_cursor_from_buf,TRUE,196,886,2,1,0.13,0.04,0.01,0.01,0.15,0.01
byte_cursor_from_string,TRUE,74,491,2,11,0.10,0.04,0.01,0.02,0.11
byte_cursor_eq_ignore_case,TRUE,276,2939,4,12,2.12,1.92,0.01,0.03,2.15,0.01
