job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time
hash_table_find,true,5,1353,0,0,5.07,4.29
hash_table_init_bounded,true,5,1117,0,0,5.82,5.61
hash_table_init_unbounded,true,5,1033,0,0,2.16,1.96
hash_table_foreach,true,5,4541,0,0,16.48,12.18
hash_table_create,true,6,3577,0,0,27.57,24.66
linked_list_back,true,4,610,0,0,1.71,1.62
hash_table_remove,true,5,2614,0,0,13.95,12.3
linked_list_begin,true,4,591,0,0,1.58,1.49
linked_list_end,true,4,602,0,0,1.62,1.53
linked_list_init,true,4,19,0,0,0.03,0.01
linked_list_front,true,4,656,0,0,2.74,2.63
linked_list_remove,true,4,19,0,0,0.02,0.01
hash_table_eq,true,6,8799,0,0,39.74,17.46
linked_list_prev,true,4,19,0,0,0.03,0.01
hash_table_put,true,6,3405,0,0,20.17,17.61
linked_list_next,true,4,19,0,0,0.02,0.01
linked_list_node_reset,true,4,58,0,0,0.07,0.06
linked_list_pop_front,true,4,888,0,0,3.1,2.9
linked_list_pop_back,true,4,899,0,0,3.86,3.67
linked_list_push_back,true,4,763,0,0,1.86,1.73
linked_list_insert_after,true,4,19,0,0,0.03,0.01
linked_list_insert_before,true,4,19,0,0,0.03,0.01
linked_list_push_front,true,4,956,0,0,2.81,2.62
string_bytes,true,5,143,0,0,0.31,0.29
linked_list_rend,true,4,597,0,0,1.79,1.69
linked_list_rbegin,true,4,743,0,0,1.94,1.85
string_eq_byte_buf,true,6,913,0,0,3.72,3.62
string_eq,true,6,1064,0,0,5.28,5.14
string_compare,true,6,1131,0,0,6.83,6.66
string_eq_byte_buf_ignore_case,true,6,2242,0,0,3.95,3.82
string_eq_byte_cursor,true,5,893,0,0,2.77,2.68
linked_list_swap_contents,true,4,3928,0,0,12.06,10.61
string_eq_byte_cursor_ignore_case,true,5,3293,0,0,6.21,5.98
string_eq_c_str,true,6,1365,0,0,5.19,4.92
string_eq_c_str_ignore_case,true,6,3792,0,0,5.13,4.43
string_eq_ignore_case,true,6,3722,0,0,5.41,4.9
string_new_from_c_str,true,6,595,0,0,0.33,0.25
string_destroy,true,5,139,0,0,0.08,0.06
string_new_from_array,true,6,637,0,0,3.49,3.46
string_destroy_secure,true,5,365,0,0,0.53,0.5
priority_queue_size,true,6,226,0,0,0.62,0.6
string_new_from_string,true,6,890,0,0,2.84,2.77
priority_queue_capacity,true,6,224,0,0,0.61,0.59
priority_queue_top,true,6,228,0,0,0.61,0.59
priority_queue_clean_up,true,6,31,0,0,0.03,0.01
priority_queue_init_static,true,12,54,0,0,0.32,0.31
priority_queue_init_dynamic,true,5,81,0,0,0.51,0.49
ring_buffer_clean_up,true,5,121,0,0,0.18,0.16
ring_buffer_init,true,5,144,0,0,0.32,0.3
byte_buf_eq2,true,6,756,0,0,2.13,2.03
