job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_write_be16,TRUE,175,844,0,5,0,0,0.03,0.03,0.09,0,0.01,0.01,0.16,0
byte_buf_write_be162,TRUE,134,595,0,2,0,0,0.03,0.03,0.06,0,0.01,0.01,0.14,0
byte_buf_write_be32,TRUE,175,844,0,5,0,0,0.03,0.03,0.09,0,0.01,0.01,0.17,0
byte_buf_write_be322,TRUE,134,595,0,2,0,0,0.02,0.02,0.06,0,0.01,0.01,0.13,0
byte_buf_write_be64,TRUE,175,842,0,5,0,0,0.03,0.03,0.11,0,0.01,0.02,0.2,0
byte_buf_write_be642,TRUE,151,678,0,3,0,0,0.03,0.03,0.08,0,0.01,0.01,0.17,0
byte_buf_write_from_whole_buffer,TRUE,341,1571,0,10,0,0,0.54,0.54,0.37,0,0.01,0.05,1.23,0
byte_buf_write_from_whole_buffer2,TRUE,266,1169,0,4,0,0,0.15,0.15,0.18,0,0.01,0.03,0.42,0
byte_buf_write_from_whole_cursor,TRUE,265,1263,0,10,0,0,0.32,0.32,0.3,0,0.01,0.04,0.79,0
byte_buf_write_from_whole_cursor2,TRUE,190,880,0,4,0,0,0.1,0.1,0.12,0,0.01,0.02,0.31,0
byte_buf_write_from_whole_string,TRUE,272,1634,17,6,0,0,1.63,1.63,0.22,0,0.01,0.05,2.04,0
byte_buf_write_from_whole_string2,TRUE,231,1414,17,3,0,0,1.06,1.06,0.14,0,0.01,0.04,1.34,0
byte_buf_write_u8,TRUE,175,842,0,5,0,0,0.04,0.04,0.11,0,0.01,0.01,0.21,0
byte_buf_write_u82,TRUE,134,595,0,2,0,0,0.04,0.04,0.06,0,0.01,0.01,0.14,0
byte_buf_write2,TRUE,173,806,0,5,0,0,0.12,0.12,0.12,0,0.01,0.02,0.31,0
