job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_append_with_lookup,TRUE,178,821,1,1,0,0,0.03,0.03,0.02,0,0.01,0.02,0.08,0
byte_buf_append_with_lookup2,TRUE,184,809,1,1,0,0,0.03,0.03,0.02,0,0.01,0.02,0.09,0
byte_buf_append2,TRUE,179,799,2,2,0,0,0.04,0.04,0.02,0,0.01,0.01,0.09,0
byte_buf_cat,TRUE,667,3055,22,0,0,0,0.69,0.69,0.09,0,0.01,0.02,0.89,0
byte_buf_cat2,TRUE,523,2267,12,0,0,0,0.9,0.9,0.06,0,0.01,0.05,1.06,0
byte_buf_clean_up,TRUE,62,299,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_buf_clean_up_secure,TRUE,71,342,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_buf_eq,TRUE,385,1771,6,8,0,0,0.17,0.17,0.03,0,0.01,0.01,0.25,0
byte_buf_eq_c_str,TRUE,261,1227,1,10,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
byte_buf_eq_c_str_ignore_case,TRUE,247,1445,1,10,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
byte_buf_eq_c_str_ignore_case2,TRUE,117,854,1,4,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_buf_eq_c_str2,TRUE,131,635,1,4,0,0,0.01,0.01,0.01,0,0.01,0.01,0.06,0
byte_buf_eq_ignore_case,TRUE,332,1817,6,2,0,0,0.1,0.1,0.03,0,0.01,0.02,0.19,0
byte_buf_eq_ignore_case2,TRUE,142,935,0,2,0,0,0.01,0.01,0.02,0,0.01,0.01,0.06,0
byte_buf_eq2,TRUE,303,1338,0,8,0,0,0.08,0.08,0.03,0,0.01,0.01,0.16,0
byte_buf_from_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
byte_buf_from_c_str,TRUE,202,1081,1,17,0,0,0.01,0.01,0.01,0,0.01,0.01,0.06,0
byte_buf_from_empty_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.04,0
byte_buf_init,TRUE,71,345,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.04,0
byte_buf_init_copy,TRUE,290,1710,9,0,0,0,0.63,0.63,0.03,0,0.01,0.03,0.73,0
byte_buf_init_copy_from_cursor,TRUE,129,643,2,2,0,0,0.06,0.06,0.02,0,0.01,0.03,0.12,0
byte_buf_init_copy2,TRUE,282,1718,7,0,0,0,1.11,1.11,0.03,0,0.01,0.03,1.21,0
byte_buf_reserve,TRUE,125,569,4,0,0,0,0.03,0.03,0.01,0,0.01,0.02,0.08,0
byte_buf_reserve_relative,TRUE,216,997,2,2,0,0,0.03,0.03,0.01,0,0.01,0.01,0.07,0
byte_buf_reset,TRUE,75,366,2,0,0,0,0.08,0.08,0.01,0,0.01,0.01,0.1,0
byte_buf_secure_zero,TRUE,110,525,2,0,0,0,0.08,0.08,0.01,0,0.01,0.01,0.12,0
byte_buf_write,TRUE,201,953,5,2,0,0,0.13,0.13,0.02,0,0.01,0.02,0.2,0
byte_buf_write_be16,TRUE,178,855,5,0,0,0,0.03,0.03,0.02,0,0.01,0.01,0.08,0
byte_buf_write_be162,TRUE,134,598,2,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.07,0
byte_buf_write_be32,TRUE,178,855,5,0,0,0,0.04,0.04,0.02,0,0.01,0.01,0.08,0
byte_buf_write_be322,TRUE,134,598,2,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.07,0
byte_buf_write_be64,TRUE,178,853,5,0,0,0,0.04,0.04,0.01,0,0.01,0.01,0.08,0
byte_buf_write_be642,TRUE,152,687,3,0,0,0,0.04,0.04,0.01,0,0.01,0.01,0.09,0
byte_buf_write_from_whole_buffer,TRUE,348,1592,10,0,0,0,0.18,0.18,0.04,0,0.01,0.03,0.28,0
byte_buf_write_from_whole_buffer2,TRUE,267,1176,4,0,0,0,0.15,0.15,0.02,0,0.01,0.02,0.22,0
byte_buf_write_from_whole_cursor,TRUE,269,1275,5,5,0,0,0.13,0.13,0.03,0,0.01,0.03,0.22,0
byte_buf_write_from_whole_cursor2,TRUE,191,884,2,2,0,0,0.12,0.12,0.02,0,0.01,0.02,0.19,0
byte_buf_write_from_whole_string,TRUE,276,1646,21,2,0,0,0.8,0.8,0.03,0,0.01,0.03,0.9,0
