job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_advance2,TRUE,223,1011,0,0,0,0,0.05,0.05,0.15,0,0.01,0.02,0.28,0
byte_buf_append,TRUE,172,807,0,4,0,0,0.04,0.04,0.1,0,0.01,0.01,0.19,0
byte_buf_append_dynamic,TRUE,221,1064,4,8,0,0,0.08,0.08,0.16,0,0.01,0.02,0.33,0
byte_buf_append_dynamic2,TRUE,237,1089,8,4,0,0,0.11,0.11,0.19,0,0.01,0.02,0.41,0
byte_buf_append_with_lookup,TRUE,177,814,0,2,0,0,0.03,0.03,0.1,0,0.01,0.02,0.19,0
byte_buf_append_with_lookup2,TRUE,183,802,0,2,0,0,0.03,0.03,0.13,0,0.01,0.02,0.24,0
byte_buf_append2,TRUE,178,795,0,4,0,0,0.04,0.04,0.11,0,0.01,0.01,0.22,0
byte_buf_cat,TRUE,652,3007,0,22,0,0,0.38,0.38,2.53,0,0.01,0.03,4.05,0
byte_buf_cat2,TRUE,518,2243,0,12,0,0,0.93,0.93,4.79,0,0.01,0.05,6.1,0
byte_buf_clean_up,TRUE,62,299,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0
byte_buf_clean_up_secure,TRUE,71,342,0,0,0,0,0.01,0.01,0.03,0,0.01,0.01,0.07,0
byte_buf_eq,TRUE,380,1760,0,14,0,0,0.19,0.19,0.52,0,0.01,0.03,0.88,0
byte_buf_eq_c_str,TRUE,261,1227,0,11,0,0,0.01,0.01,0.04,0,0.01,0.01,0.12,0
byte_buf_eq_c_str_ignore_case,TRUE,247,1445,0,11,0,0,0.01,0.01,0.05,0,0.01,0.01,0.12,0
byte_buf_eq_c_str_ignore_case2,TRUE,117,854,0,5,0,0,0.01,0.01,0.04,0,0.01,0.01,0.12,0
byte_buf_eq_c_str2,TRUE,131,635,0,5,0,0,0.01,0.01,0.04,0,0.01,0.01,0.09,0
byte_buf_eq_ignore_case,TRUE,326,1800,0,8,0,0,0.09,0.09,0.37,0,0.01,0.03,0.63,0
byte_buf_eq_ignore_case2,TRUE,142,935,0,2,0,0,0.01,0.01,0.13,0,0.01,0.02,0.21,0
byte_buf_eq2,TRUE,303,1338,0,8,0,0,0.08,0.08,0.2,0,0.01,0.02,0.37,0
byte_buf_from_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0
byte_buf_from_c_str,TRUE,202,1081,0,18,0,0,0.01,0.01,0.02,0,0,0.01,0.06,0
byte_buf_from_empty_array,TRUE,56,264,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0
byte_buf_init,TRUE,71,345,0,0,0,0,0.02,0.02,0.03,0,0.01,0.01,0.07,0
byte_buf_init_copy,TRUE,286,1698,2,7,0,0,0.54,0.54,0.25,0,0.01,0.04,0.94,0
byte_buf_init_copy_from_cursor,TRUE,129,643,2,2,0,0,0.07,0.07,0.14,0,0.01,0.03,0.28,0
byte_buf_init_copy2,TRUE,282,1715,6,1,0,0,0.95,0.95,0.24,0,0.01,0.04,1.33,0
byte_buf_reserve,TRUE,124,563,0,4,0,0,0.02,0.02,0.06,0,0.01,0.02,0.14,0
byte_buf_reserve_relative,TRUE,215,993,0,4,0,0,0.03,0.03,0.08,0,0.01,0.01,0.15,0
byte_buf_reset,TRUE,74,359,0,2,0,0,0.06,0.06,0.04,0,0.01,0.02,0.14,0
byte_buf_secure_zero,TRUE,110,518,0,2,0,0,0.07,0.07,0.05,0,0.01,0.01,0.15,0
byte_buf_write,TRUE,197,941,0,7,0,0,0.11,0.11,0.17,0,0.01,0.03,0.38,0
byte_buf_write_be16,TRUE,175,844,0,5,0,0,0.03,0.03,0.13,0,0.01,0.01,0.22,0
byte_buf_write_be162,TRUE,134,595,0,2,0,0,0.02,0.02,0.06,0,0.01,0.01,0.13,0
byte_buf_write_be32,TRUE,175,844,0,5,0,0,0.03,0.03,0.13,0,0.01,0.01,0.23,0
byte_buf_write_be322,TRUE,134,595,0,2,0,0,0.03,0.03,0.07,0,0.01,0.01,0.14,0
byte_buf_write_be64,TRUE,175,842,0,5,0,0,0.03,0.03,0.14,0,0.01,0.01,0.23,0
byte_buf_write_be642,TRUE,151,678,0,3,0,0,0.03,0.03,0.11,0,0.01,0.01,0.21,0
byte_buf_write_from_whole_buffer,TRUE,341,1571,0,10,0,0,0.15,0.15,0.59,0,0.01,0.05,0.97,0
byte_buf_write_from_whole_buffer2,TRUE,266,1169,0,4,0,0,0.15,0.15,0.19,0,0.01,0.03,0.45,0
