job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
huffman_test_transitive_chunked,TRUE,5271,3388,833,4923,14,263,n/a,n/a,0.36,0.17,n/a,n/a,1.41,0.50,n/a,n/a,0.01,0.28,1.48
profile_collection_new_from_buffer,TRUE,27725,22508,7952,253279,791,841,n/a,n/a,12.87,8.34,n/a,n/a,84.13,1.81,n/a,n/a,0.01,47.29,86.14
pem_objects_init_from_file_contents,TRUE,16106,2737,311,1512,n/a,79,n/a,n/a,0.02,0.02,n/a,n/a,0.09,0.01,n/a,n/a,0.01,0.02,0.12
sanitize_pem,TRUE,6013,1606,190,956,7,53,n/a,n/a,0.02,0.02,n/a,n/a,0.10,0.04,n/a,n/a,0.01,0.01,0.12
input_stream_from_cursor,TRUE,3072,2351,202,1115,8,84,n/a,n/a,0.06,0.03,n/a,n/a,0.26,0.13,n/a,n/a,0.01,0.03,0.28
der,TRUE,24328,12125,3129,57080,361,612,n/a,n/a,1.91,1.02,n/a,n/a,73.62,25.25,n/a,n/a,0.01,38.58,74.09
ecc,n/a,14223,6830,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rsa,TRUE,15226,12284,3177,16381,n/a,658,n/a,n/a,0.22,0.09,n/a,n/a,0.93,0.04,n/a,n/a,0.01,0.22,1.18
sha1,TRUE,5541,8078,2457,11456,n/a,700,n/a,n/a,1.01,0.41,n/a,n/a,1.71,0.02,n/a,n/a,0.01,0.09,1.92
sha256,TRUE,5536,8037,2448,11413,n/a,695,n/a,n/a,0.61,0.32,n/a,n/a,1.15,0.02,n/a,n/a,0.01,0.07,1.32
sha256_hmac,TRUE,4815,4052,722,3463,n/a,170,n/a,n/a,0.07,0.04,n/a,n/a,0.18,0.01,n/a,n/a,0.01,0.04,0.22
