job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
array_list_clean_up_crab,TRUE,67,516,0,0,0,6,0.04,0.01,0.01,0.03,0.01,0.01,0.06,0
array_list_init_dynamic_crab,TRUE,90,541,0,0,0,35,0.05,0.01,0.01,0.03,0.01,0.02,0.06,0
array_list_clear_crab,TRUE,100,662,0,0,0,30,0.05,0.01,0.01,0.06,0.01,0.01,0.06,0
array_list_capacity_crab,TRUE,123,751,0,3,3,38,0.04,0.01,0.01,0.09,0.01,0.01,0.06,0
array_list_get_at_ptr_crab,TRUE,150,859,0,3,3,48,0.04,0.01,0.01,0.10,0.01,0.02,0.07,0
array_list_ensure_capacity_crab,TRUE,165,1020,0,7,7,51,0.05,0.01,0.01,0.09,0.01,0.02,0.07,0
array_list_front_crab,TRUE,174,3637,0,7,7,50,0.17,0.02,0.01,0.08,0.01,0.09,0.18,0
array_list_get_at_crab,TRUE,179,3656,0,7,7,51,0.18,0.02,0.01,0.09,0.01,0.09,0.20,0
array_list_copy_crab,TRUE,170,3675,0,8,8,35,0.20,0.02,0.01,0.08,0.01,0.10,0.22,0
array_list_back_crab,TRUE,174,3639,0,7,7,54,0.16,0.02,0.01,0.09,0.01,0.09,0.18,0
array_list_erase_crab,TRUE,187,4415,0,11,11,85,0.27,0.02,0.01,0.10,0.01,0.17,0.30,0
array_list_init_static_crab,TRUE,124,604,0,3,3,32,0.05,0.01,0.01,0.04,0.01,0.01,0.07,0
array_list_length_crab,TRUE,120,743,0,3,3,33,0.05,0.01,0.01,0.07,0.01,0.01,0.07,0
array_list_pop_back_crab,TRUE,138,841,0,3,3,52,0.05,0.01,0.01,0.09,0.01,0.02,0.07,0
array_list_sort_crab,TRUE,137,845,0,3,3,37,0.04,0.01,0.01,0.07,0.01,0.01,0.06,0
array_list_pop_front_crab,TRUE,157,4101,0,7,7,56,0.18,0.02,0.01,0.10,0.01,0.10,0.20,0
array_list_pop_front_n_crab,TRUE,181,5362,0,7,7,53,0.25,0.02,0.01,0.08,0.01,0.16,0.27,0
array_list_push_back_crab,TRUE,209,5609,0,11,11,69,0.37,0.02,0.01,0.11,0.01,0.25,0.40,0
array_list_shrink_to_fit_crab,TRUE,192,5572,0,11,11,65,0.46,0.02,0.01,0.07,0.01,0.31,0.49,0
array_list_swap_contents_crab,TRUE,290,1747,0,6,6,89,0.07,0.01,0.01,0.22,0.01,0.03,0.10,0
array_list_set_at_crab,TRUE,208,5599,0,11,11,65,0.50,0.03,0.01,0.14,0.01,0.33,0.52,0
array_list_push_front_crab,TRUE,211,5572,0,15,15,69,0.56,0.02,0.01,0.10,0.01,0.38,0.58,0
byte_buf_append_crab,TRUE,174,992,0,4,4,53,0.06,0.01,0.01,0.09,0.01,0.02,0.07,0
array_list_swap_crab,TRUE,242,4558,0,36,30,52,0.31,0.02,0.01,0.09,0.01,0.21,0.33,0
