job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
array_list_set_at,TRUE,2632,1846,487,2060,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.97,1.85,n/a,n/a,0.00,0.08,1.99
array_list_shrink_to_fit,TRUE,2391,1494,435,1709,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.13,1.08,n/a,n/a,0.00,0.03,1.15
array_list_sort,TRUE,1758,1295,328,1288,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.24,0.21,n/a,n/a,0.00,0.01,0.26
array_list_swap,TRUE,2124,1608,395,1823,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.97,3.93,n/a,n/a,0.00,0.02,3.99
array_list_swap_contents,TRUE,2865,1915,619,2386,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.99,0.94,n/a,n/a,0.00,0.02,1.00
byte_buf_advance,TRUE,2311,1569,476,1816,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,0.06,n/a,n/a,0.00,0.01,0.11
byte_buf_append,TRUE,1764,1178,293,1115,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.05,n/a,n/a,0.00,0.00,0.09
byte_buf_append_dynamic,TRUE,2373,1423,385,1483,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.05,n/a,n/a,0.00,0.01,0.10
byte_buf_append_with_lookup,TRUE,1881,1610,561,2234,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.13,0.09,n/a,n/a,0.00,0.01,0.15
byte_buf_cat,TRUE,4241,2810,1137,4246,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.22,0.15,n/a,n/a,0.00,0.02,0.25
byte_buf_clean_up,TRUE,922,700,106,409,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.04
byte_buf_clean_up_secure,TRUE,991,750,123,472,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.01,n/a,n/a,0.00,0.01,0.06
byte_buf_eq,TRUE,2547,2224,903,3743,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.35,1.31,n/a,n/a,0.00,0.01,1.37
