job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
array_list_clean_up_crab,TRUE,67,516,0,0,0,6,0.03,0.01,0.01,0.02,0.01,0.01,0.04,0
array_list_capacity_crab,TRUE,123,751,0,3,3,38,0.05,0.01,0.01,0.03,0.01,0.02,0.06,0
array_list_init_dynamic_crab,TRUE,90,541,0,0,0,35,0.04,0.01,0.01,0.03,0.01,0.01,0.05,0
array_list_clear_crab,TRUE,100,662,0,0,0,30,0.05,0.01,0.01,0.03,0.01,0.02,0.07,0
array_list_get_at_ptr_crab,TRUE,150,859,0,3,3,48,0.05,0.01,0.01,0.03,0.01,0.02,0.07,0
array_list_ensure_capacity_crab,TRUE,165,1020,0,7,7,51,0.06,0.01,0.01,0.04,0.01,0.02,0.08,0
array_list_front_crab,TRUE,174,3637,0,7,7,50,0.17,0.02,0.00,0.03,0.01,0.09,0.19,0
array_list_get_at_crab,TRUE,179,3656,0,7,7,51,0.17,0.02,0.01,0.03,0.01,0.09,0.19,0
array_list_back_crab,TRUE,174,3639,0,7,7,54,0.18,0.02,0.00,0.03,0.01,0.11,0.20,0
array_list_copy_crab,TRUE,170,3675,0,8,8,35,0.17,0.02,0.01,0.03,0.01,0.09,0.19,0
array_list_erase_crab,TRUE,187,4415,0,11,11,85,0.25,0.02,0.01,0.04,0.01,0.16,0.27,0
array_list_init_static_crab,TRUE,124,604,0,3,3,32,0.03,0.01,0.01,0.02,0.01,0.01,0.04,0
array_list_length_crab,TRUE,120,743,0,3,3,33,0.05,0.02,0.01,0.03,0.01,0.01,0.07,0
array_list_pop_back_crab,TRUE,138,841,0,3,3,52,0.06,0.01,0.01,0.03,0.01,0.02,0.08,0
array_list_pop_front_crab,TRUE,157,4101,0,7,7,56,0.17,0.02,0.01,0.03,0.01,0.10,0.19,0
array_list_pop_front_n_crab,TRUE,181,5362,0,7,7,53,0.24,0.02,0.01,0.03,0.01,0.15,0.26,0
array_list_sort_crab,TRUE,137,845,0,3,3,37,0.05,0.01,0.01,0.03,0.01,0.02,0.05,0
array_list_push_back_crab,TRUE,209,5609,0,11,11,69,0.36,0.02,0.01,0.04,0.01,0.25,0.39,0
array_list_swap_contents_crab,TRUE,290,1747,0,6,6,89,0.08,0.01,0.01,0.06,0.01,0.03,0.10,0
array_list_set_at_crab,TRUE,208,5599,0,11,11,65,0.38,0.02,0.01,0.04,0.01,0.26,0.40,0
array_list_push_front_crab,TRUE,211,5572,0,15,15,69,0.44,0.02,0.01,0.04,0.01,0.31,0.47,0
array_list_shrink_to_fit_crab,TRUE,192,5572,0,11,11,65,0.43,0.02,0.01,0.04,0.01,0.29,0.46,0
byte_buf_append_crab,TRUE,174,992,0,4,4,53,0.04,0.01,0.01,0.04,0.01,0.02,0.07,0
array_list_swap_crab,TRUE,242,4558,0,36,30,52,0.38,0.02,0.01,0.04,0.01,0.24,0.40,0
byte_buf_append_dynamic_crab,TRUE,212,1204,0,12,12,71,0.08,0.01,0.01,0.05,0.01,0.03,0.09,0
byte_buf_clean_up_crab,TRUE,59,421,0,0,0,16,0.04,0.01,0.01,0.02,0.01,0.01,0.05,0
byte_buf_clean_up_secure_crab,TRUE,64,440,0,0,0,20,0.04,0.01,0.01,0.02,0.01,0.01,0.06,0
byte_buf_cat_crab,TRUE,474,2425,0,22,22,96,0.10,0.02,0.01,0.09,0.01,0.03,0.13,0
array_list_comparator_string_crab,TRUE,816,3696,66,6,20,37,2.36,2.27,0.03,0.05,0.01,0.03,2.38,0
byte_buf_eq_c_str_crab,TRUE,493,2870,1,6,7,38,0.19,0.06,0.02,0.03,0.01,0.06,0.21,0
byte_buf_eq_c_str_ignore_case_crab,TRUE,479,4550,1,6,7,35,0.21,0.06,0.02,0.03,0.01,0.08,0.24,0
byte_buf_from_array_crab,TRUE,94,645,0,0,0,25,0.05,0.01,0.01,0.02,0.01,0.02,0.07,0
byte_buf_advance_crab,TRUE,287,1784,5,0,5,40,1.07,0.96,0.02,0.04,0.01,0.06,1.09,0
byte_buf_from_empty_array_crab,TRUE,94,572,0,0,0,24,0.03,0.01,0.01,0.02,0.01,0.01,0.04,0
byte_buf_init_copy_from_cursor_crab,TRUE,93,1975,0,4,4,17,0.09,0.01,0.01,0.03,0.01,0.05,0.11,0
byte_buf_init_crab,TRUE,70,325,0,0,0,27,0.03,0.01,0.01,0.03,0.01,0.01,0.04,0
byte_buf_init_copy_crab,TRUE,168,2882,0,9,9,37,0.35,0.03,0.01,0.03,0.01,0.20,0.37,0
byte_buf_reserve_relative_crab,TRUE,153,876,0,2,2,60,0.06,0.01,0.01,0.03,0.01,0.02,0.07,0
byte_buf_reserve_crab,TRUE,98,2959,0,4,4,30,0.14,0.02,0.01,0.03,0.01,0.09,0.16,0
byte_buf_reset_crab,TRUE,88,2871,0,2,2,15,0.12,0.02,0.01,0.02,0.01,0.07,0.13,0
byte_buf_from_c_str_crab,TRUE,561,2388,3,60,34,35,0.61,0.57,0.01,0.05,0,0.02,0.63,0
byte_buf_secure_zero_crab,TRUE,87,1983,0,2,2,24,0.10,0.02,0.01,0.02,0.01,0.05,0.13,0
byte_buf_write_be16_crab,TRUE,138,780,0,5,5,39,0.05,0.01,0.01,0.03,0.01,0.02,0.06,0
byte_buf_write_be32_crab,TRUE,138,781,0,5,5,39,0.05,0.01,0.01,0.03,0.01,0.02,0.07,0
byte_buf_write_be64_crab,TRUE,138,777,0,5,5,39,0.06,0.01,0.01,0.03,0.01,0.02,0.08,0
byte_buf_write_crab,TRUE,173,2834,0,5,5,52,0.17,0.01,0.01,0.03,0.01,0.10,0.19,0
byte_buf_write_u8_crab,TRUE,139,777,0,5,5,39,0.04,0.01,0.01,0.03,0.01,0.02,0.07,0
byte_buf_write_from_whole_string_crab,TRUE,250,6102,0,28,28,38,0.30,0.03,0.01,0.04,0.01,0.17,0.31,0
byte_buf_cursor_1,TRUE,188,3213,9,1,7,19,0.42,0.27,0.01,0.03,0.01,0.08,0.43,0
byte_buf_write_from_whole_cursor_crab,TRUE,217,4590,0,10,10,64,0.31,0.02,0.01,0.06,0.01,0.20,0.33,0
byte_buf_write_from_whole_buffer_crab,TRUE,292,5341,0,10,10,72,0.34,0.02,0.01,0.07,0.01,0.21,0.36,0
byte_cursor_advance_crab,TRUE,106,816,3,0,3,17,0.70,0.62,0.01,0.02,0.01,0.04,0.72,0
byte_cursor_advance_nospec_crab,TRUE,111,872,3,0,3,19,0.63,0.56,0.01,0.02,0.01,0.04,0.65,0
byte_cursor_read_crab,TRUE,110,2224,0,7,7,29,0.26,0.02,0.01,0.02,0.01,0.18,0.28,0
hash_table_put_crab,TRUE,921,6499,0,97,38,84,0.45,0.03,0.01,0.06,0.01,0.26,0.48,0
string_eq_byte_buf_crab,TRUE,244,1381,11,9,11,12,0.37,0.34,0.01,0.02,0.01,0.01,0.38,0
huffman_test_transitive,TRUE,131,670,4,4,41,68,0.04,0.01,0.01,0.14,0.01,0.01,0.05,0
string_eq_crab,TRUE,211,1517,14,2,14,45,0.92,0.87,0.01,0.03,0.01,0.02,0.94,0
sanitize_pem,TRUE,407,1846,35,15,67,21,0.23,0.19,0.01,0.15,0.01,0.01,0.26,0
priority_queue_push_crab,TRUE,373,18709,0,16,17,139,3.05,0.06,0.01,0.10,0.01,2.49,3.09,0
huffman_test_transitive_chunked,TRUE,592,3083,35,18,155,64,0.48,0.31,0.02,1.75,0.01,0.09,0.52,0
input_stream_from_cursor,TRUE,140,702,12,0,13,54,0.24,0.15,0.01,0.05,0.01,0.06,0.26,0
byte_buf_1,TRUE,237,8982,10,0,10,36,6.42,5.31,0.03,0.06,0.01,0.92,6.44,0
pem_objects_init_from_file_contents,TRUE,290,1278,1,34,336,42,0.20,0.18,0.01,1.51,0.01,0.01,0.22,0
byte_buf_eq_ignore_case_crab,TRUE,652,5735,26,2,8,60,9.01,8.68,0.04,0.05,0.01,0.18,9.05,0
byte_cursor_compare_lexical_crab,TRUE,260,1870,12,0,18,52,6.67,6.57,0.02,0.06,0.01,0.05,6.69,0
sha1,TRUE,1361,6286,3,0,3,69,0.12,0.01,0.02,0.03,0.01,0.03,0.16,0
sha256,TRUE,1351,6240,3,0,3,69,0.11,0.01,0.01,0.03,0.01,0.03,0.16,0
rsa,TRUE,1818,10841,1,0,1,278,0.35,0.03,0.02,0.06,0.01,0.14,0.44,0
sha256_hmac,TRUE,421,2114,2,0,2,52,0.05,0.01,0.01,0.03,0.01,0.02,0.08,0
ecc,TRUE,1247,10108,2,141,241,203,1.21,0.03,0.01,0.23,0.01,0.81,1.29,0
byte_buf_append_with_lookup_crab,TRUE,464,18825,9,14,3,60,21.70,19.46,0.03,0.04,0.01,1.71,21.75,0
profile_collection_new_from_buffer,TRUE,4918,48506,578,31,824,41,37.37,32.02,0.15,4.38,0.01,3.32,37.55,0
der,TRUE,2320,50232,365,16,473,567,69.00,20.48,0.06,0.26,0.01,41.94,69.19,0
priority_queue_scheduler,0,0,0,0,0,1360,11,0,0,0,0.81,0,0,0,0
byte_buf_eq_crab,0,0,0,0,0,14,64,0,0,0,0.06,0,0,0,0
priority_queue_1,0,0,0,0,0,158,10,0,0,0,0.88,0,0,0,0
