job_name,pp_loc,opsem_loc,result,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
linked_list_insert_before,n/a,n/a,TRUE,8,43,n/a,n/a,1,n/a,0.01,0.02,0.02,0.01,n/a,n/a,0.01,0.01,0.03
linked_list_pop_front,n/a,n/a,TRUE,7,36,n/a,n/a,56,9,0.01,0.67,0.02,0.01,n/a,n/a,n/a,n/a,0.04
string_bytes,n/a,n/a,TRUE,20,171,2,n/a,2,5,0.01,0.02,0.13,0.11,n/a,n/a,0.01,0.01,0.15
hash_table_find,n/a,n/a,TRUE,707,3216,71,3,11,46,0.43,0.60,2.78,2.17,n/a,n/a,0.01,0.06,2.83
string_eq_byte_buf,n/a,n/a,TRUE,274,1508,18,11,13,7,0.05,0.08,0.52,0.44,n/a,n/a,0.01,0.02,0.54
string_eq_byte_cursor,n/a,n/a,TRUE,210,1219,19,1,16,5,0.03,0.06,0.47,0.41,n/a,n/a,0.01,0.02,0.48
hash_table_create,n/a,n/a,TRUE,844,4714,78,25,44,44,0.37,0.72,4.53,3.91,n/a,n/a,0.01,0.11,4.59
string_eq_byte_buf_ignore_case,n/a,n/a,TRUE,235,2885,16,12,10,3,0.06,0.07,1.30,1.19,n/a,n/a,0.01,0.03,1.31
string_eq,n/a,n/a,TRUE,310,1921,41,n/a,21,6,0.05,0.04,2.04,1.90,n/a,n/a,0.01,0.03,2.06
hash_table_foreach,n/a,n/a,TRUE,653,3127,n/a,48,16,19,0.27,0.67,5.13,4.28,n/a,n/a,0.01,0.51,5.19
string_compare,n/a,n/a,TRUE,314,1982,39,n/a,19,6,0.06,0.04,2.65,2.53,n/a,n/a,0.01,0.03,2.67
string_new_from_array,n/a,n/a,TRUE,62,476,n/a,6,6,9,0.01,0.03,0.28,0.24,n/a,n/a,0.01,0.01,0.29
string_eq_byte_cursor_ignore_case,n/a,n/a,TRUE,193,2746,16,1,10,3,0.03,0.05,1.23,1.14,n/a,n/a,0.01,0.03,1.26
string_new_from_c_str,n/a,n/a,TRUE,192,1018,n/a,3,3,30,0.01,0.04,0.11,0.07,n/a,n/a,0.01,0.02,0.12
hash_table_put,n/a,n/a,TRUE,821,4290,81,14,36,46,0.44,0.96,4.19,3.52,n/a,n/a,0.01,0.09,4.26
string_destroy,n/a,n/a,TRUE,23,191,2,n/a,2,3,0.01,0.02,0.04,0.03,n/a,n/a,n/a,0.01,0.05
