job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time
array_list_push_back2,TRUE,259,1222,2,6,0.31,0.25,0.05,0.01,0.01,0.33
array_list_sort2,TRUE,147,696,0,0,0.22,0.19,0.03,0.01,0.01,0.23
array_list_pop_front2,TRUE,180,841,4,0,0.86,0.82,0.03,0.01,0.01,0.88
byte_buf_append2,TRUE,187,824,2,2,0.06,0.04,0.02,0.01,0.01,0.07
byte_buf_advance2,TRUE,244,1089,0,0,0.11,0.05,0.04,0.01,0.01,0.12
byte_buf_append_dynamic2,TRUE,237,1088,6,6,0.27,0.21,0.04,0.01,0.01,0.29
byte_buf_append_with_lookup2,TRUE,356,1671,20,0,0.19,0.08,0.07,0.01,0.02,0.21
byte_buf_eq_c_str2,TRUE,112,645,0,11,0.11,0.08,0.02,0,0.01,0.12
byte_buf_eq_c_str_ignore_case2,TRUE,112,645,0,11,0.11,0.08,0.02,0,0.01,0.12
array_list_set_at2,TRUE,254,1350,2,6,1.35,1.26,0.05,0.01,0.03,1.36
array_list_shrink_to_fit2,TRUE,216,1021,6,2,1.53,1.46,0.04,0.01,0.02,1.55
byte_buf_eq2,TRUE,595,2681,0,46,1.39,1.23,0.12,0.01,0.02,1.42
byte_buf_cat2,TRUE,553,2343,6,6,0.83,0.65,0.11,0.01,0.04,0.86
linked_list_swap_contents,TRUE,1501,10829,37,95,10.31,8.90,0.58,0.01,0.50,10.42
byte_buf_eq_ignore_case2,TRUE,284,2915,0,22,0.68,0.56,0.07,0.01,0.02,0.70
byte_buf_write_be162,TRUE,142,620,0,2,0.05,0.03,0.02,0.01,0.01,0.06
array_list_clear2,TRUE,137,653,0,0,0.57,0.54,0.02,0.01,0.01,0.58
byte_buf_write2,TRUE,175,802,2,3,0.14,0.09,0.03,0.01,0.01,0.15
hash_table_remove,TRUE,852,5341,51,105,17.22,16.35,0.45,0.01,0.20,17.26
byte_buf_init_copy2,TRUE,303,1743,2,5,1.00,0.90,0.06,0.01,0.03,1.01
byte_buf_write_be322,TRUE,142,620,0,2,0.05,0.02,0.02,0.01,0.01,0.06
byte_buf_write_be642,TRUE,157,696,0,3,0.08,0.04,0.03,0.01,0.01,0.09
byte_buf_write_from_whole_buffer2,TRUE,278,1194,2,2,0.17,0.11,0.04,0.01,0.02,0.18
byte_buf_write_u82,TRUE,142,620,0,2,0.11,0.09,0.02,0.01,0.01,0.12
byte_cursor_advance2,TRUE,90,411,0,0,0.05,0.02,0.02,0.01,0.01,0.06
byte_buf_write_from_whole_cursor2,TRUE,194,883,2,2,0.15,0.09,0.04,0.01,0.01,0.16
byte_cursor_read_u8_2,TRUE,108,551,2,2,0.10,0.06,0.02,0.01,0.02,0.11
byte_cursor_read2,TRUE,122,629,2,2,0.14,0.10,0.02,0.01,0.02,0.15
byte_cursor_from_buf2,TRUE,154,657,0,0,0.06,0.03,0.03,0.01,0.01,0.07
array_list_pop_front_n2,TRUE,189,879,4,0,1.52,1.47,0.03,0.01,0.02,1.53
byte_cursor_read_be32_2,TRUE,96,567,2,0,0.09,0.06,0.02,0.01,0.02,0.10
byte_cursor_eq_c_str2,TRUE,102,606,0,11,0.10,0.08,0.02,0,0.01,0.11
byte_cursor_eq2,TRUE,239,1274,0,12,0.49,0.43,0.05,0.01,0.01,0.50
byte_cursor_read_be64_2,TRUE,96,618,2,0,0.13,0.09,0.02,0.01,0.02,0.14
array_list_erase2,TRUE,252,1188,8,0,2.10,2.03,0.04,0.01,0.01,2.11
byte_cursor_eq_byte_buf_ignore_case2,TRUE,287,2993,0,10,0.61,0.51,0.06,0.01,0.02,0.63
byte_cursor_left_trim_pred2,TRUE,155,726,0,0,0.06,0.03,0.02,0.01,0.01,0.07
byte_cursor_read_be16_2,TRUE,96,541,2,0,0.09,0.05,0.02,0.01,0.02,0.10
byte_cursor_advance_nospec2,TRUE,100,492,0,0,0.10,0.07,0.02,0.01,0.01,0.11
byte_cursor_trim_pred2,TRUE,285,1295,10,1,0.25,0.17,0.06,0.01,0.01,0.26
byte_cursor_eq_c_str_ignore_case2,TRUE,102,606,0,11,0.10,0.08,0.01,0,0.01,0.11
hash_iter_delete,TRUE,522,3290,11,78,21.92,21.27,0.38,0.01,0.10,21.96
byte_cursor_right_trim_pred2,TRUE,181,801,0,11,0.08,0.03,0.03,0.01,0.01,0.09
byte_cursor_satisfies_pred2,TRUE,133,608,0,0,0.06,0.02,0.03,0.00,0.01,0.07
byte_cursor_eq_byte_buf2,TRUE,313,1562,0,12,0.31,0.21,0.07,0.01,0.01,0.32
byte_cursor_compare_lookup2,TRUE,761,3261,60,66,0.88,0.61,0.18,0.01,0.02,0.90
