job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_cursor_from_buf2,TRUE,57,244,0,0,0,0,0.02,0.02,0.05,0.42,0.01,0.01,0.09,0
byte_cursor_from_c_str,TRUE,164,867,0,0,0,18,0.16,0.16,0.03,0.21,0.01,0.01,0.22,0
byte_cursor_from_string,TRUE,27,299,2,0,2,11,0.02,0.02,0.02,0.23,0.01,0.01,0.07,0
byte_cursor_left_trim_pred,TRUE,64,361,0,0,0,4,0.1,0.1,0.03,0.37,0.01,0.01,0.14,0
byte_cursor_left_trim_pred2,TRUE,59,305,0,0,0,1,0.01,0.01,0.04,0.23,0.01,0.01,0.07,0
byte_cursor_read,TRUE,88,447,4,0,4,3,0.19,0.19,0.05,0.3,0.01,0.01,0.26,0
byte_cursor_read_and_fill_buffer,TRUE,118,580,4,0,4,4,0.23,0.23,0.07,0.97,0.01,0.01,0.33,0
byte_cursor_read_and_fill_buffer2,TRUE,95,475,2,0,2,2,0.1,0.1,0.07,0.75,0.01,0.01,0.2,0
byte_cursor_read_be16,TRUE,52,310,2,0,2,3,0.11,0.11,0.04,0.37,0.01,0.01,0.16,0
byte_cursor_read_be16_2,TRUE,43,269,2,0,2,2,0.04,0.04,0.03,0.29,0.01,0.01,0.09,0
byte_cursor_read_be32,TRUE,52,334,2,0,2,3,0.12,0.12,0.04,0.37,0.01,0.01,0.17,0
byte_cursor_read_be32_2,TRUE,43,293,2,0,2,2,0.05,0.05,0.03,0.27,0.01,0.01,0.09,0
byte_cursor_read_be64,TRUE,52,381,2,0,2,3,0.14,0.14,0.04,0.36,0.01,0.01,0.2,0
byte_cursor_read_be64_2,TRUE,43,340,2,0,2,2,0.06,0.06,0.03,0.28,0.01,0.01,0.11,0
byte_cursor_read_u8,TRUE,64,339,2,0,2,3,0.08,0.08,0.03,0.33,0.01,0.01,0.13,0
byte_cursor_read_u8_2,TRUE,55,297,2,0,2,2,0.05,0.05,0.03,0.2,0.01,0.01,0.1,0
byte_cursor_read2,TRUE,70,372,2,0,2,2,0.09,0.09,0.04,0.23,0.01,0.01,0.15,0
byte_cursor_right_trim_pred,TRUE,64,361,0,0,0,4,0.1,0.1,0.03,0.38,0.01,0.01,0.13,0
byte_cursor_right_trim_pred2,TRUE,55,294,0,0,0,1,0.01,0.01,0.04,0.22,0.01,0.01,0.07,0
byte_cursor_satisfies_pred,TRUE,68,372,0,0,0,4,0.1,0.1,0.04,0.26,0.01,0.01,0.16,0
byte_cursor_satisfies_pred2,TRUE,59,305,0,0,0,1,0.01,0.01,0.04,0.16,0.01,0.01,0.07,0
byte_cursor_trim_pred,TRUE,154,761,0,0,0,5,0.08,0.08,0.09,0.54,0.01,0.01,0.2,0
byte_cursor_trim_pred2,TRUE,145,694,0,0,0,2,0.01,0.01,0.09,0.33,0.01,0.01,0.13,0
hash_array_ignore_case,TRUE,107,436,10,1,1,0,0.03,0.03,0.05,0.08,0.01,0.01,0.1,0
hash_byte_cursor_ptr,TRUE,8,42,0,0,0,81,0.01,0.01,0,0.58,0.01,0.01,0.02,0
hash_byte_cursor_ptr_ignore_case,TRUE,64,292,0,0,1,0,0.02,0.02,0.02,0.19,0.01,0.01,0.05,0
hash_c_string,TRUE,423,1726,3,54,42,0,0.63,0.63,0.08,0.38,0,0.01,0.74,0
hash_callback_c_str_eq,TRUE,379,2256,0,0,0,22,3.19,3.19,0.08,0.27,0.01,0.02,3.32,0
hash_callback_string_destroy,TRUE,18,168,1,0,1,7,0.03,0.03,0.01,0.07,0,0.01,0.06,0
hash_callback_string_eq,TRUE,270,2430,2,0,2,25,5.6,5.6,0.09,0.16,0.01,0.03,5.76,0
hash_iter_begin,TRUE,466,2351,0,38,6,79,0.46,0.46,0.86,5.74,0.01,0.03,1.65,0
hash_iter_begin_done,TRUE,853,3992,0,70,7,82,0.62,0.62,1.36,6.97,0.01,0.05,2.5,0
hash_iter_begin_done2,TRUE,864,4026,33,34,4,81,0.63,0.63,1.66,5.43,0.01,0.05,2.95,0
hash_iter_begin2,TRUE,473,2368,33,2,3,78,0.52,0.52,1.04,4.56,0.01,0.04,2.05,0
hash_iter_delete,TRUE,165,1848,11,1,4,86,19.89,19.89,0.56,6.24,0.01,0.09,20.89,0
hash_iter_done,TRUE,148,935,6,0,6,94,0.19,0.19,0.21,7.65,0.01,0.03,0.49,0
hash_iter_done2,TRUE,121,808,3,0,3,93,0.08,0.08,0.22,6.23,0.01,0.03,0.37,0
hash_iter_next,TRUE,242,1470,15,0,7,95,0.94,0.94,0.38,9.29,0.01,0.04,1.52,0
hash_iter_next2,TRUE,215,1423,12,0,4,94,0.82,0.82,0.42,7.6,0.01,0.04,1.41,0
hash_ptr,TRUE,6,30,0,0,0,20,0.01,0.01,0.01,0.09,0,0.01,0.03,0
hash_string,TRUE,175,730,24,2,24,4,0.24,0.24,0.1,0.35,0,0.01,0.39,0
hash_table_clean_up,TRUE,422,1937,0,52,6,35,0.32,0.32,0.49,1.94,0.01,0.03,1.08,0
hash_table_clear,TRUE,427,1959,0,52,6,58,0.52,0.52,0.51,2.43,0.01,0.03,1.31,0
hash_table_create,TRUE,887,4824,76,35,48,41,2.93,2.93,2.58,6.54,0.01,0.12,6.88,0
hash_table_eq,TRUE,5633,22980,587,12,17,97,10.8,10.8,21.28,41.29,0.01,0.55,45.24,0
hash_table_find,TRUE,728,3217,70,4,11,62,12.93,12.93,2.28,5.87,0.01,0.06,16.2,0
hash_table_find2,TRUE,708,3166,71,0,8,61,12.3,12.3,2.15,4.35,0.01,0.06,15.33,0
hash_table_foreach,0,0,0,0,0,0,44,0,0,0,4.63,0,0,0,0
hash_table_get_entry_count,TRUE,71,613,0,3,3,45,0.05,0.05,0.06,1.36,0.01,0.02,0.16,0
hash_table_get_entry_count2,TRUE,49,477,0,0,0,44,0.03,0.03,0.09,0.9,0.01,0.02,0.15,0
hash_table_init_bounded,TRUE,124,2428,2,25,27,0,0.61,0.61,0.15,0.67,0.01,0.07,0.96,0
hash_table_init_unbounded,TRUE,132,2374,24,0,24,0,0.96,0.96,0.1,0.39,0.01,0.07,1.21,0
hash_table_move,TRUE,179,1009,0,40,40,6,0.06,0.06,0.12,0.8,0.01,0.03,0.29,0
hash_table_put,TRUE,851,4487,80,15,32,43,2.79,2.79,2.76,6.57,0.01,0.09,7.01,0
hash_table_remove,TRUE,529,4066,55,1,13,76,23.33,23.33,1.89,7.71,0.01,0.19,26.47,0
hash_table_swap,TRUE,135,1077,0,6,6,86,0.11,0.11,0.2,5.74,0.01,0.04,0.4,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0.05,0.01,0.01,0.02,0
linked_list_back,TRUE,183,1197,6,15,21,12,0.62,0.62,0.13,2.6,0.01,0.02,0.81,0
linked_list_begin,TRUE,107,576,6,15,21,12,0.03,0.03,0.07,2.56,0.01,0.01,0.14,0
linked_list_end,TRUE,107,573,6,15,21,12,0.03,0.03,0.07,2.53,0.01,0.02,0.14,0
linked_list_front,TRUE,243,1506,10,23,33,12,1,1,0.17,2.63,0.01,0.03,1.27,0
linked_list_init,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0.09,0.01,0,0.02,0
