job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,crab_solve_is_deref_time
add_size_checked,TRUE,30,185,0,0,0.03,0.03,0.01,0.01,0.01,0.04,0,0
add_size_saturating,TRUE,26,168,0,0,0.06,0.06,0.01,0.01,0.01,0.08,0,0
array_eq,TRUE,444,2096,0,52,1.37,1.37,0.01,0.01,0.01,1.47,0,0.01
array_eq_c_str,TRUE,595,2595,0,57,1.03,1.03,0.01,0.01,0.01,1.1,0,0.01
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0.08,0.08,0.01,0,0.01,0.11,0,0.01
array_eq_c_str_ignore_case2,TRUE,99,583,0,11,0.07,0.07,0.01,0,0.01,0.09,0,0.01
array_eq_c_str2,TRUE,530,2288,0,51,0.67,0.67,0.01,0.01,0.01,0.74,0,0.01
array_eq_ignore_case,TRUE,254,2746,0,28,1.01,1.01,0.01,0.01,0.02,1.12,0,0.01
array_eq_ignore_case2,TRUE,191,2445,0,22,0.57,0.57,0.01,0.01,0.02,0.66,0,0.01
array_eq2,TRUE,385,1807,0,46,1.18,1.18,0.01,0.01,0.01,1.25,0,0.01
array_list_back,TRUE,235,1138,2,5,0.21,0.21,0.01,0.01,0.01,0.27,0,0.01
array_list_back2,TRUE,197,898,2,2,0.21,0.21,0.01,0.01,0.01,0.25,0,0.01
array_list_capacity,TRUE,180,889,0,3,0.2,0.2,0.01,0.01,0.01,0.23,0,0.01
array_list_capacity2,TRUE,135,626,0,0,0.18,0.18,0.02,0.01,0.01,0.22,0,0
array_list_clean_up,TRUE,75,398,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0,0
array_list_clear,TRUE,133,633,0,0,0.5,0.5,0.02,0.01,0.01,0.53,0,0
array_list_clear2,TRUE,137,646,0,0,0.51,0.51,0.01,0.01,0.01,0.54,0,0
array_list_comparator_string,TRUE,403,2702,24,33,5.15,5.15,0.03,0.01,0.03,5.4,0,0.03
array_list_copy,TRUE,302,1415,4,4,1.68,1.68,0.01,0.01,0.01,1.74,0,0.01
array_list_ensure_capacity,TRUE,217,1109,0,7,0.77,0.77,0.01,0.01,0.01,0.83,0,0.01
array_list_ensure_capacity2,TRUE,183,882,0,4,0.67,0.67,0.01,0.01,0.01,0.72,0,0.01
array_list_erase,TRUE,273,1349,8,3,2.83,2.83,0.01,0.01,0.01,2.89,0,0.01
array_list_erase2,TRUE,252,1185,8,0,3.24,3.24,0.01,0.01,0.01,3.29,0,0.01
array_list_front,TRUE,230,1110,2,5,0.21,0.21,0.01,0.01,0.01,0.26,0,0.01
array_list_front2,TRUE,192,870,2,2,0.21,0.21,0.01,0.01,0.01,0.24,0,0.01
array_list_get_at,TRUE,232,1128,2,5,0.47,0.47,0.01,0.01,0.01,0.52,0,0.01
array_list_get_at_ptr,TRUE,221,1084,0,3,0.21,0.21,0.01,0.01,0.01,0.27,0,0.01
array_list_get_at_ptr2,TRUE,182,842,0,0,0.21,0.21,0.02,0.01,0.01,0.24,0,0
array_list_get_at2,TRUE,194,888,2,2,0.41,0.41,0.01,0.01,0.01,0.45,0,0.01
array_list_init_dynamic,TRUE,118,587,0,0,0.3,0.3,0.02,0.01,0.01,0.33,0,0
array_list_init_static,TRUE,149,735,0,3,0.37,0.37,0.01,0.01,0.01,0.4,0,0.01
array_list_init_static2,TRUE,122,580,0,0,0.37,0.37,0.01,0.01,0.01,0.39,0,0
array_list_length,TRUE,178,889,0,3,0.18,0.18,0.01,0.01,0.01,0.21,0,0.01
array_list_length2,TRUE,139,647,0,0,0.19,0.19,0.02,0.01,0.01,0.22,0,0
array_list_pop_back,TRUE,199,986,0,3,0.64,0.64,0.01,0.01,0.01,0.69,0,0.01
array_list_pop_back2,TRUE,159,741,0,0,0.62,0.62,0.02,0.01,0.01,0.66,0,0
array_list_pop_front,TRUE,220,1071,4,3,1.53,1.53,0.01,0.01,0.02,1.6,0,0.01
array_list_pop_front_n,TRUE,224,1090,4,3,1.82,1.82,0.01,0.01,0.02,1.9,0,0.01
array_list_pop_front_n2,TRUE,189,873,4,0,1.46,1.46,0.01,0.01,0.02,1.51,0,0.01
array_list_pop_front2,TRUE,180,838,4,0,1.54,1.54,0.01,0.01,0.02,1.59,0,0.01
array_list_push_back,TRUE,296,1452,2,9,2.04,2.04,0.01,0.01,0.01,2.11,0,0.01
array_list_push_back2,TRUE,257,1202,2,6,0.53,0.53,0.01,0.01,0.01,0.59,0,0.01
array_list_set_at,TRUE,292,1595,2,9,1.16,1.16,0.01,0.01,0.04,1.27,0,0.01
array_list_set_at2,TRUE,253,1340,2,6,1.19,1.19,0.01,0.01,0.03,1.27,0,0.01
array_list_shrink_to_fit,TRUE,260,1287,6,5,1.85,1.85,0.01,0.01,0.01,1.9,0,0.01
array_list_shrink_to_fit2,TRUE,215,1011,6,2,0.94,0.94,0.01,0.01,0.02,1.01,0,0.01
array_list_sort,TRUE,186,931,0,3,0.18,0.18,0.01,0.01,0.01,0.23,0,0.01
array_list_sort2,TRUE,147,689,0,0,0.17,0.17,0.01,0.01,0.01,0.2,0,0
array_list_swap,TRUE,276,1519,24,4,12.56,12.56,0.01,0.01,0.01,12.63,0,0.01
array_list_swap_contents,TRUE,349,1699,0,6,0.78,0.78,0.01,0.01,0.01,0.88,0,0.01
byte_buf_advance,TRUE,307,1398,4,1,0.09,0.09,0.01,0.01,0.01,0.16,0,0.01
byte_buf_advance2,TRUE,244,1079,0,0,0.05,0.05,0.03,0.01,0.01,0.11,0,0
byte_buf_append,TRUE,181,829,2,2,0.05,0.05,0.01,0.01,0.01,0.09,0,0.01
byte_buf_append_dynamic,TRUE,230,1089,6,6,0.18,0.18,0.01,0.01,0.01,0.24,0,0.01
byte_buf_append_dynamic2,TRUE,236,1076,6,6,0.19,0.19,0.01,0.01,0.01,0.23,0,0.01
byte_buf_append_with_lookup,TRUE,345,1564,10,10,0.12,0.12,0.01,0.01,0.02,0.24,0,0.01
byte_buf_append_with_lookup2,TRUE,347,1558,10,10,0.08,0.08,0.01,0.01,0.02,0.21,0,0.01
byte_buf_append2,TRUE,187,817,2,2,0.04,0.04,0,0.01,0.01,0.08,0,0
byte_buf_cat,TRUE,685,3070,12,10,0.8,0.8,0.02,0.01,0.02,1.02,0,0.02
byte_buf_cat2,TRUE,553,2328,6,6,0.59,0.59,0.01,0.01,0.04,0.78,0,0.01
byte_buf_clean_up,TRUE,66,308,0,0,0.01,0.01,0.01,0,0.01,0.03,0,0
byte_buf_clean_up_secure,TRUE,75,351,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0,0
byte_buf_eq,TRUE,671,3092,4,48,1.5,1.5,0.02,0.01,0.02,1.7,0,0.02
byte_buf_eq_c_str,TRUE,112,637,0,11,0.09,0.09,0.01,0,0.01,0.12,0,0.01
byte_buf_eq_c_str_ignore_case,TRUE,112,637,0,11,0.09,0.09,0.01,0,0.01,0.12,0,0.01
byte_buf_eq_c_str_ignore_case2,TRUE,112,642,0,11,0.08,0.08,0.01,0,0.01,0.11,0,0.01
byte_buf_eq_c_str2,TRUE,112,642,0,11,0.08,0.08,0.01,0,0.01,0.11,0,0.01
byte_buf_eq_ignore_case,TRUE,476,3784,4,24,0.69,0.69,0.02,0.01,0.02,0.86,0,0.02
byte_buf_eq_ignore_case2,TRUE,284,2906,0,22,0.54,0.54,0.01,0,0.02,0.66,0,0.01
byte_buf_eq2,TRUE,595,2675,0,46,1.17,1.17,0.01,0.01,0.01,1.29,0,0.01
byte_buf_from_array,TRUE,69,353,0,0,0.01,0.01,0.01,0.01,0.01,0.04,0,0
byte_buf_from_c_str,TRUE,332,1526,0,33,0.29,0.29,0.01,0,0.01,0.33,0,0.01
byte_buf_from_empty_array,TRUE,69,353,0,0,0.01,0.01,0,0,0,0.02,0,0
byte_buf_init,TRUE,91,418,0,0,0.02,0.02,0.02,0.01,0.01,0.05,0,0
